"","x"
"357",43.1452
"358",43.1458
"359",43.1463
"360",43.1471
"361",43.1473
"362",43.1475
"363",43.1477
"364",43.1479
"365",43.1487
"366",43.161
"367",43.4
"368",43.661
"369",43.94
"370",44.1074
"371",44.1256
"372",44.1466
"373",44.1472
"374",44.1473
"375",44.1479
"376",44.1513
"377",44.1516
"378",44.1517
"379",44.1525
"380",44.1546
"381",44.1547
"382",44.1552
"383",44.1553
"384",44.1554
"385",44.1555
"386",44.1556
"387",44.156
"388",44.1639
"389",44.1686
"390",44.17
"391",44.1708
"392",44.1783
"393",44.1828
"394",44.185
"395",44.1864
"396",44.1865
"397",44.1869
"398",44.1882
"399",44.1946
"400",44.2012
"401",44.2028
"402",44.2029
"403",44.204
"404",44.2067
"405",44.2069
"406",44.207
"407",44.2082
"408",44.2085
"409",44.2086
"410",44.217
"411",44.218
"412",44.2189
"413",44.2198
"414",44.226
"415",44.245
"416",44.2503
"417",44.36
"418",44.557
"419",44.563
"420",44.577
"421",44.794
"422",44.797
"423",44.822
"424",44.929
"425",44.941
"426",44.957
"427",44.967
"428",44.971
"429",44.978
"430",48.1263
"431",49.117
"432",49.134
"433",49.349
"434",49.352
"435",49.582
"436",49.6
"437",49.673
"438",5.1055
"439",5.4
"440",5.444
"441",50.208
"442",50.221
"443",50.223
"444",50.23
"445",50.312
"446",50.64
"447",50.779
"448",50.78
"449",50.894
"450",50.897
"451",8.1022
"452",8.1024
"453",8.1025
"454",8.1038
"455",8.1054
"456",8.1056
"457",8.1068
"458",8.1106
"459",8.1123
"460",8.116
"461",8.1162
"462",8.1175
"463",8.1186
"464",8.1571
"465",8.1827
"466",8.183
"467",8.1842
"468",8.1913
"469",8.2122
"470",8.2189
"471",8.313
"472",8.326
"473",8.327
"474",8.33
"475",8.346
"476",8.36
"477",8.361
"478",8.362
"479",8.363
"480",8.515
"481",8.532
"482",8.536
"483",8.554
"484",8.555
"485",8.569
"486",8.598
"487",8.601
"488",8.609
"489",8.61
"490",8.62
"491",8.623
"492",8.632
"493",8.639
"494",8.641
"495",8.656
"496",8.85
"497",8.86
"498",8.865
"499",8.87
"500",8.894
"501",9.1041
"502",9.1047
"503",9.1065
"504",9.136
"505",9.1544
"506",9.1596
"507",9.1718
"508",9.1719
"509",9.2468
"510",9.2603
"511",9.2674
"512",9.355
"513",9.717
"514",9.815
"515",9.919
