"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"39448",19,1957,NA,930413,2,27,4,5,2,"S",930420,2,"0539","2","0539K41","595","4498","92","178","7","7","0","0","12","12","4","4","9","1","80","60","21","25","4","7","4","4","25","21","6","3","0","4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"25","21","91","45","44",NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9",NA,NA,"P204","230",NA,"6.75",NA,"19.1957",595000,4498000,19
"39681",19,2238,NA,940728,1,20,4,4,1,"S",940801,1,"0539","1","0539J12","595","4499","94","219","6","6","0","0","13","13","5","5","1","1","70","70","21","21","5","5","4","4","25","25","2","2","4","4","91","91","2","2","2","2","21","3","1",NA,"25","3","1",NA,"91","3","6",NA,"21","25","91","02","37","45",NA,"2","02","W","20",NA,NA,NA,"2","1","3",NA,"0",NA,"0","0",NA,NA,"01","215",NA,"14.00",NA,"19.2238",595000,4499000,19
"39689",19,2246,NA,940902,0,19,4,3,3,"S",940902,0,"0565","1","0565J06","609","4482","94","204","7","7","0","0","16","17","3","4","9","1","80","50","21","21","0","7","4","4",NA,"25",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"25","3","1",NA,NA,NA,NA,NA,"21","25","37","99",NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","196",NA,"6.00",NA,"19.2246",609000,4482000,19
"40709",20,1031,0,960229,0,40,4,1,2,NA,960229,0,"0113","1","0113416","556","4761","96","051","0","6","0","0","06","06","0","4","1","1","03","70","25","21","8","5","5","3","21","25","2","4","5","3","00",NA,"0",NA,"0",NA,"21","3","1",NA,"25","3","1",NA,NA,NA,NA,NA,"21","25","33",NA,NA,NA,NA,"2","04","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"P404","095",NA,"05,50",NA,"20.1031",556000,4761000,20
"43343",22,659,NA,940126,12,18,4,6,2,"S",940204,13,"0178","4","0178595","265","4712","93","189","6","6","0","0","07","07","4","5","9","1","80","70","25","25","8","6","4","4","45","21","1","2","0","4",NA,"91",NA,"1",NA,"2","25","3","1",NA,"21","3","1",NA,"91","3","6",NA,"25","21","91","15","99","44","45","3","04","W","20",NA,NA,NA,"4","1","3",NA,"0",NA,"0","0",NA,NA,"01","321",NA,"11.50",NA,"22.659",265000,4712000,22
"43376",22,804,NA,940128,12,62,4,1,1,"S",940208,13,"0179","4","0179567","270","4712","93","144","2","2","0","0","11","11","5","5","9","1","80","80","21","25","6","6","4","4","31","21","1","3","4","4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"25","21","91","76","15","65","44","3","05","W","20",NA,NA,NA,"4","1","2",NA,"0",NA,"0","0",NA,NA,"01","045",NA,"10.75",NA,"22.804",270000,4712000,22
"43478",22,93,NA,940120,3,0,0,0,0,"S",940127,1,"0144","4","0144708","702","4736","93","078","1","1","0","0","19","19","5","5","5","3","00",NA,"21",NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.93",702000,4736000,22
"43483",22,98,NA,940114,3,35,4,6,3,"S",940117,3,"0144","4","0144702","688","4735","93","901","2","2","0","0","12","12","5","5","9","1","00","65","21","21","0","9","0","4","71",NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,NA,"21","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","71","43","91","37","76","65","2","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"P204","92",NA,"11.25",NA,"22.98",688000,4735000,22
"43757",22,399,NA,931214,13,28,4,3,1,"S",931220,12,"0177","4","0177173","704","4724","93","130","1","1","0","0","11","11","4","5","9","1","00","70","21","25","0","7","1","3",NA,"21",NA,"2",NA,"3",NA,"91",NA,"1",NA,"2","25","1","2","30","21","1","2","30","91","3","6",NA,"25","21","91","37",NA,NA,NA,"1","02","W","20",NA,NA,NA,"1","1","3",NA,"1",NA,"0","0",NA,"P404","P204","380",NA,"15.00",NA,"22.399",704000,4724000,22
"44082",22,884,NA,940126,13,17,4,6,4,"S",940203,12,"0208","2","0208J34","676","4705","93","173","1","1","0","0","09","09","5","5","9","1","50","65","21","21","0","5","4","3",NA,"91",NA,"4",NA,"2",NA,"25",NA,"1",NA,"3","21","3","1",NA,"91","3","6",NA,"25","3","1",NA,"21","91","25","37","44","78","99","2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"P305","P204","220",NA,"9.50",NA,"22.884",676000,4705000,22
