"Var1" "Freq"
"729" "55,92,97" 1
"730" "55,95" 1
"731" "55,95,99" 1
"732" "56,255" 1
"733" "56,258" 1
"734" "56,92" 1
"735" "57,258,356" 1
"736" "57,373" 1
"737" "57,58,255" 1
"738" "57,58,258" 1
"739" "57,72,73" 1
"740" "57,74,258" 1
"741" "57,97" 1
"742" "58,243" 1
"743" "58,255,357" 1
"744" "58,59,79" 1
"745" "58,72,273" 1
"746" "58,72,357" 1
"747" "58,74,476" 1
"748" "58,74,75" 1
"749" "58,75" 1
"750" "58,75,95" 1
"751" "58,76" 1
"752" "58,92" 1
"753" "58,95" 1
"754" "58,95,258" 1
"755" "58,97" 1
"756" "61,264" 1
"757" "61,273,357" 1
"758" "61,299" 1
"759" "61,436" 1
"760" "61,62,72" 1
"761" "61,63" 1
"762" "61,65" 1
"763" "61,72,264" 1
"764" "61,76" 1
"765" "61,79,257" 1
"766" "61,97" 1
"767" "62,257" 1
"768" "62,273" 1
"769" "62,319" 1
"770" "62,469" 1
"771" "62,64" 1
"772" "62,66" 1
"773" "62,72,83" 1
"774" "65,273,378" 1
"775" "65,273,576" 1
"776" "65,557" 1
"777" "65,71,215" 1
"778" "65,71,243" 1
"779" "65,71,378" 1
"780" "65,71,74" 1
"781" "65,71,74,215" 1
"782" "65,74" 1
"783" "65,74,215" 1
"784" "65,74,95" 1
"785" "66,68" 1
"786" "66,72" 1
"787" "67,95" 1
"788" "68,237" 1
"789" "7,16,41" 1
"790" "7,26" 1
"791" "7,26,61" 1
"792" "7,28,61" 1
"793" "7,41" 1
"794" "7,41,72" 1
"795" "7,51,58" 1
"796" "7,54,72" 1
"797" "7,57,258" 1
"798" "7,61" 1
"799" "71,215,377" 1
"800" "71,215,377,576" 1
"801" "71,215,657" 1
"802" "71,243,255" 1
"803" "71,243,278" 1
"804" "71,243,476" 1
"805" "71,255,476" 1
"806" "71,273,576" 1
"807" "71,276" 1
"808" "71,357" 1
"809" "71,376" 1
"810" "71,377,476" 1
"811" "71,395" 1
"812" "71,576" 1
"813" "71,595" 1
"814" "71,676" 1
"815" "71,72,273" 1
"816" "71,72,377" 1
"817" "71,72,74,395" 1
"818" "71,73" 1
"819" "71,74,215,255" 1
"820" "71,74,377" 1
"821" "71,74,657" 1
"822" "71,74,76" 1
"823" "71,76,243" 1
"824" "71,76,255" 1
"825" "71,76,77,278" 1
"826" "71,78" 1
"827" "71,91" 1
"828" "71,95" 1
"829" "72,235,657" 1
"830" "72,243" 1
"831" "72,243,255,395" 1
"832" "72,273,357" 1
"833" "72,277" 1
"834" "72,294" 1
"835" "72,299,307" 1
"836" "72,74,215,255" 1
"837" "72,74,255" 1
"838" "72,74,357" 1
"839" "72,81,83" 1
"840" "72,84,99" 1
"841" "73,78" 1
"842" "74,215" 1
"843" "74,215,277" 1
"844" "74,243" 1
"845" "74,258" 1
"846" "74,273" 1
"847" "74,75,255" 1
"848" "74,76,215,255" 1
"849" "74,76,243" 1
"850" "74,78" 1
"851" "74,92,215" 1
"852" "74,94,377,576" 1
"853" "74,95" 1
"854" "74,95,256" 1
"855" "75,255" 1
"856" "75,258" 1
"857" "75,299" 1
"858" "75,377" 1
"859" "75,576" 1
"860" "75,79" 1
"861" "76,215" 1
"862" "77,243,476" 1
"863" "79,243" 1
"864" "79,395" 1
"865" "79,92,255" 1
"866" "79,99" 1
"867" "8,45,93" 1
"868" "8,46,47,66" 1
"869" "8,46,66" 1
"870" "8,46,68" 1
"871" "8,47,66" 1
"872" "8,54" 1
"873" "8,68" 1
"874" "81,283" 1
"875" "81,82,84" 1
"876" "81,82,86,283" 1
"877" "81,82,87" 1
"878" "81,83,238" 1
"879" "81,83,294,495" 1
"880" "81,83,495" 1
"881" "81,87,294" 1
"882" "82,282,294" 1
"883" "82,283" 1
"884" "82,294,495" 1
"885" "82,83,84,294" 1
"886" "82,84" 1
"887" "82,88" 1
"888" "83,268" 1
"889" "83,84,294" 1
"890" "83,86" 1
"891" "86,294" 1
"892" "91,255,357,476" 1
"893" "91,377" 1
"894" "92,255" 1
"895" "92,657" 1
"896" "92,97" 1
