"","PlotID0","PlotID.x","CoorX","CoorY","FechaIni.x","FechaFin.x","Cla.x","Subclase.x","PlotID.y","FechaIni.y","FechaFin.y","Cla.y","Subclase.y"
"62",42.142,"42.142.A.4 ",NA,NA,"01/28/04 12:30:23","01/28/04 13:35:14","A","4 ","42.142.A.4","2019-05-22","2019-05-22","A","4"
"63",42.1864,"42.1864.A.1 ",NA,NA,"11/04/03 11:22:47","11/04/03 13:34:46","A","1 ","42.1864.A.1","2019-04-10","2019-04-10","A","1"
"64",42.3041,"42.3041.N.N ",NA,NA,"01/29/04 10:39:39","01/29/04 11:37:15","N","N ","42.3041.A.1","2019-07-05","2019-07-05","A","1"
"65",42.3092,"42.3092.N.N ",NA,NA,"03/18/04 10:02:35","03/18/04 11:02:27","N","N ","42.3092.A.1","2019-06-24","2019-06-24","A","1"
"66",42.972,"42.972.A.1 ",NA,NA,"03/15/04 10:13:17","03/15/04 11:32:30","A","1 ","42.972.A.1","2019-04-01","2019-04-01","A","1"
"67",49.134,"49.134.A.1",NA,NA,"08/20/02 00:00:00","08/20/02 00:00:00","A","1","49.134.A.1","2019-09-10","2019-09-10","A","1"
"68",49.152,"49.152.A.4",NA,NA,"06/19/02 00:00:00","06/19/02 00:00:00","A","4","49.152.A.1","2019-08-08","2019-08-08","A","1"
"69",49.21,"49.21.A.3E",NA,NA,"07/08/02 00:00:00","07/08/02 00:00:00","A","3E","49.21.A.1","2019-09-30","2019-09-30","A","1"
"70",49.29,"49.29.A.1",NA,NA,"07/22/02 00:00:00","07/22/02 00:00:00","A","1","49.29.A.1","2019-07-31","2019-07-31","A","1"
"71",49.352,"49.352.A.1",NA,NA,"07/25/02 00:00:00","07/25/02 00:00:00","A","1","49.352.A.4","2019-07-22","2019-07-22","A","4"
"72",49.582,"49.582.A.1",NA,NA,"06/24/02 00:00:00","06/24/02 00:00:00","A","1","49.582.A.1","2019-08-28","2019-08-28","A","1"
"73",49.6,"49.60.A.1",NA,NA,"09/20/02 00:00:00","09/20/02 00:00:00","A","1","49.60.A.1","2019-08-02","2019-08-02","A","1"
"74",49.6,"49.60.A.1",NA,NA,"09/20/02 00:00:00","09/20/02 00:00:00","A","1","49.6.A.1","2019-07-24","2019-07-24","A","1"
"75",49.673,"49.673.A.1",NA,NA,"08/27/02 00:00:00","08/27/02 00:00:00","A","1","49.673.A.1","2019-07-26","2019-07-26","A","1"
"76",49.82,"49.82.A.1",NA,NA,"10/07/02 00:00:00","10/07/02 00:00:00","A","1","49.82.A.4","2019-10-17","2019-10-17","A","4"
