"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"673","42_46",42.46,21,NA,NA,29.8692090277778,NA,NA,657.840431446501,NA,NA,79013,42,46,0,920108,NA,34,5,1,2,"S",920114,8,279,2,"0279M04",520,4652,91,215,2,2,"3","3",17,17,4,4,9,1,70,60,21,21,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,1,"W",15,NA,NA,NA,2,1,1,NA,0,NA,0,4,NA,NA,"M410",75,NA,"5",NA,520000,4652000,42,"IFN2","42_46",32.16875,15338.8228987199,7121.29950923403,29.8692090277778,657.840431446501,0,23.316935483871,10.8252688172043,24.0439955730798,12.4375,46.4266362305307,38.6632990091315,617.93458713925,31.3477680897023,58.3447706125655,-2.75844462250235,42.0190320683167,"1986_1996",1.73484848484848,11.4242424242424,6.57954545454545,794.800001404502,47.9385881587363
"674","42_467",42.467,21,26,NA,7.90903333333333,7.65984711111111,NA,130.860730986669,61.6813823893923,NA,79857,42,467,NA,920110,1,13,5,2,2,"S",920124,1,316,1,"0316M08",501,4632,91,129,2,2,"0","0",11,11,2,3,9,1,90,60,26,21,5,6,4,4,21,26,5,4,4,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,NA,NA,NA,NA,NA,1,1,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",199,NA,"3",NA,501000,4632000,42,"IFN2","42_467",37.0165760869565,5937.07355578191,2475.46061708621,15.5688804444444,192.542113376062,0,30.8351947097722,12.8567229977957,32.0863919233196,13.7201086956522,41.69496291107,37.0647697491576,287.393564697412,52.5266351424766,97.7630837917436,-2.98795610882673,41.8391554004916,"1986_1996",4.12121212121212,14.780303030303,9.45075757575758,486.645456335761,25.0193574435523
"675","42_468",42.468,21,26,NA,11.5110854166667,4.27156875,NA,208.669814276041,509.295817894065,NA,79858,42,468,NA,920110,1,18,5,2,3,"S",920124,1,316,1,"0316M09",502,4632,91,129,2,2,"0","0",12,12,2,2,9,1,90,90,26,21,5,6,4,4,21,26,5,4,4,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,NA,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"M414",80,NA,"1.25",NA,502000,4632000,42,"IFN2","42_468",31.475,10437.7348456178,5538.59201959796,15.7826541666667,717.965632170106,0,14.5379310344828,7.71428571428571,16.7298963982906,12.9375,53.0631607481702,41.1040508339952,376.804959735988,28.8468110128584,53.689964996332,-2.97591221842355,41.8391535061781,"1986_1996",4.12121212121212,14.780303030303,9.45075757575758,486.645456335761,25.0193574435523
"683","42_632",42.632,21,26,NA,8.90790555555555,2.66335625,NA,212.206590789194,286.478897565412,NA,80010,42,632,NA,920114,2,10,4,1,5,"S",920116,1,317,1,"0317K05",522,4641,91,215,2,2,"3","3",13,13,4,5,9,1,70,70,21,21,0,7,4,4,NA,26,NA,1,NA,3,NA,43,NA,1,NA,3,21,3,1,NA,26,3,1,NA,43,3,6,NA,21,26,43,37,65,15,NA,2,1,"W",13,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",304,78,"18",3.75,522000,4641000,42,"IFN2","42_632",29.1287878787879,7111.21969617154,2608.37267845051,11.5712618055556,498.685488354605,0,14.2599290780142,5.23049645390071,17.1882655213144,8.71212121212121,36.6796807002711,29.9089726918075,273.32569634741,51.3999534395274,95.6660928568917,-2.73470070577266,41.9199088483921,"1986_1996",2.74242424242424,12.6818181818182,7.71212121212121,659.009090271863,37.2066723335697
"684","42_65",42.65,21,NA,NA,5.59119375,NA,NA,346.604098289017,NA,NA,81379,42,65,NA,921216,3,9,4,1,3,"S",921222,1,280,2,"0280J06",548,4665,91,209,3,3,"3","3",15,15,4,5,9,1,15,20,71,21,0,8,3,3,21,71,0,2,1,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,71,3,6,NA,NA,NA,NA,NA,21,71,37,NA,NA,NA,NA,2,1,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",385,NA,"10.75",NA,548000,4665000,42,"IFN2","42_65",18.8485714285714,4578.88771275383,1892.17543453698,5.59119375,346.604098289017,0,13.2107142857143,5.45918367346939,14.3314615729285,6.54285714285714,41.3239099370486,34.7127482188874,141.901244957593,82.0948124879149,152.795662816659,-2.73473800176287,41.9109024131996,"1986_1996",4.10606060606061,14.6287878787879,9.36742424242424,501.990910139951,25.9193429057201
"689","42_713",42.713,26,21,NA,11.5361375,7.55337152777778,NA,827.605704077856,746.259844275331,NA,80078,42,713,NA,920108,10,26,4,2,3,"S",920113,3,317,1,"0317M01",513,4634,91,173,2,2,"3","3",11,11,2,2,9,1,80,60,21,26,4,7,4,3,26,21,6,3,4,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,26,3,1,NA,NA,NA,NA,NA,26,21,43,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,4,NA,NA,"01",335,NA,"1.25",NA,513000,4634000,42,"IFN2","42_713",20.2,18777.9843801101,10249.5783351181,19.0895090277778,1573.86554835319,0,11.9311235955056,6.5123595505618,12.4270665543429,7.83870967741935,54.5829527154925,38.8054934525711,512.54919628229,32.1567097605543,59.8503807118155,-2.84338576795484,41.857062528535,"1986_1996",4.28787878787879,14.9772727272727,9.63257575757576,472.218180136247,24.0527878749699
"690","42_733",42.733,21,26,NA,10.15015,7.88539930555556,NA,555.273912565057,229.89047335496,NA,80097,42,733,NA,920108,10,25,6,2,2,"S",920114,7,317,1,"0317M03",518,4632,91,173,2,2,"3","3",10,10,2,1,9,1,70,50,21,21,0,5,4,3,NA,26,NA,5,NA,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,43,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"P305",273,NA,"0.5",NA,518000,4632000,42,"IFN2","42_733",24.2863636363636,12995.0011034533,5545.66557262426,18.0355493055556,785.164385920017,0,16.5506756756757,7.06306306306306,17.1017065556955,7.28787878787879,42.6753759270599,30.0081103000811,426.869569370994,48.9686986809325,91.1410178727647,-2.78321070507863,41.8389514470543,"1986_1996",4.60606060606061,15.1818181818182,9.89393939393939,463.28181746873,23.2875856458006
"692","42_841",42.841,26,21,NA,28.6378923611111,5.8106875,NA,1099.93749559065,233.427249868113,NA,80193,42,841,NA,920108,10,44,6,3,3,"S",920114,10,347,4,"0347174",483,4630,91,80,2,2,"0","0",11,11,2,4,9,1,70,80,26,26,0,6,3,4,NA,21,NA,2,NA,4,NA,25,NA,1,NA,4,26,3,6,NA,21,3,6,NA,25,3,6,NA,26,21,25,37,15,44,45,3,2,"W",19,NA,NA,NA,1,1,2,NA,0,1,2,0,NA,NA,"01",98,NA,"4.5",NA,483000,4630000,42,"IFN2","42_841",29.8375,22725.0269687891,11796.9180596226,34.4485798611111,1333.36474545877,0,17.0433687002653,8.84748010610079,18.137032729568,11,51.9115690195865,36.8663594470046,796.625243218957,24.8961866225243,46.3370244880676,-3.20468813107952,41.8209603284744,"1986_1996",4.65909090909091,15.7424242424242,10.2007575757576,449.209091143175,22.2372398390771
"693","42_876",42.876,26,21,NA,29.2387418888889,19.30434125,NA,315.76340709432,241.20815819705,NA,80224,42,876,NA,920109,7,49,6,3,2,"S",920114,10,348,2,"0348J09",500,4631,91,129,2,2,"3","3",11,11,2,4,9,1,90,90,26,26,5,6,4,4,21,21,5,4,4,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,21,3,1,NA,NA,NA,NA,NA,26,21,45,NA,NA,NA,NA,1,3,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",391,NA,"4.5",NA,5e+05,4631000,42,"IFN2","42_876",45.4480337078652,18032.2904200769,11194.3220773115,48.5430831388889,556.971565291371,0,32.3756032512065,20.0985521971044,33.3121164135394,22.7219101123596,62.0793133680232,49.9953645044655,882.908874340092,18.6482743819363,34.7083495073982,-2.99999999999999,41.8301493723728,"1986_1996",4.13636363636364,14.8636363636364,9.5,486.854546698657,24.9668998307004
"694","42_88",42.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,79052,42,88,0,920108,NA,0,0,1,3,"S",920115,6,280,1,"0280K06",554,4663,91,218,6,6,"3","3",11,11,4,5,9,1,15,5,21,45,0,5,1,1,43,37,0,5,2,1,45,NA,0,NA,1,NA,45,3,6,NA,37,3,6,NA,NA,NA,NA,NA,45,37,NA,NA,NA,NA,NA,2,1,"W",17,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",325,NA,"7.25",NA,554000,4663000,42,"IFN2","42_88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95183119644316,41.830139272543,"1986_1996",4.06060606060606,14.8712121212121,9.46590909090909,487.136364178224,25.0251021877897
"695","42_883",42.883,21,26,NA,19.2255319444444,6.85793055555556,NA,413.378438857349,70.7355302630646,NA,80231,42,883,NA,920109,7,28,6,1,4,"S",920114,3,348,2,"0348J13",507,4631,91,173,2,2,"3","3",11,11,2,3,9,1,90,90,21,21,7,7,4,4,26,26,3,3,4,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,37,44,NA,NA,NA,1,3,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",15,NA,"2.75",NA,507000,4631000,42,"IFN2","42_883",36.0064766839378,12057.1540754604,7168.97525663133,26.0834625,484.113969120414,0,24.9056107539451,14.8084453535944,26.1917111878992,15.6891191709845,59.4582702664649,43.5730474511638,521.683279029245,28.9686082668091,53.9166552290355,-2.91570462340773,41.8301184416596,"1986_1996",4,14.969696969697,9.48484848484848,485.018180630424,24.8920683682799
"696","42_915",42.915,21,26,NA,19.31079375,12.9717618055556,NA,1941.69030572112,534.053253486138,NA,80260,42,915,NA,920109,10,41,5,4,1,"S",920115,7,348,2,"0348J07",496,4629,91,55,2,2,"3","3",11,11,3,4,9,1,70,85,21,26,6,6,4,3,26,21,4,4,4,3,NA,NA,NA,NA,NA,NA,26,3,1,NA,21,3,1,NA,NA,NA,NA,NA,26,21,44,43,45,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,0,2,3,0,NA,NA,"01",388,NA,"4.25",NA,496000,4629000,42,"IFN2","42_915",22.2779411764706,30644.0464205648,20663.6167780977,32.2825555555556,2475.74355920726,0,12.3777142857143,8.34642857142857,12.8850522478014,10.2352941176471,67.4310973639259,45.9436266420226,854.476787239344,19.6357206150716,36.5461940327138,-3.04815530592029,41.8121259170785,"1986_1996",4.65151515151515,15.5757575757576,10.1136363636364,443.645455902273,22.05694922
"697","42_917",42.917,21,26,NA,26.3085829166667,8.89174977777778,NA,326.656678754832,76.9602569262143,NA,80261,42,917,NA,920109,10,34,6,3,2,"S",920115,7,348,2,"0348J09",499,4629,91,55,2,2,"3","3",11,11,2,2,9,1,90,90,21,21,6,8,4,4,26,26,4,2,4,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,44,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",265,NA,"2.25",NA,499000,4629000,42,"IFN2","42_917",47.935,11897.4403216794,6074.34292581041,35.2003326944444,403.616935681047,0,29.477059235892,15.049772169646,33.3229739028513,19.7,51.0558806060307,41.0973192865339,640.14652235401,25.2667325540869,47.0266881769329,-3.01203882840221,41.8121353797199,"1986_1996",4.46969696969697,15.2878787878788,9.87878787878788,460.518182581121,23.1663110139893
"698","42_918",42.918,26,21,NA,26.4249106666667,12.8500282222222,NA,199.757137462894,305.294548615387,NA,80262,42,918,NA,920109,10,39,6,3,3,"S",920115,7,348,2,"0348J09",500,4629,91,190,2,2,"3","3",11,11,2,4,9,1,90,80,26,26,7,6,4,4,21,21,3,4,4,4,NA,NA,NA,NA,NA,NA,26,3,1,NA,21,3,1,NA,NA,NA,NA,NA,26,21,37,45,44,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",288,NA,"5",NA,5e+05,4629000,42,"IFN2","42_918",46.96,14027.0254164383,7063.79152313016,39.2749388888889,505.051686078281,0,27.7734453781513,13.9862745098039,31.4662439735651,19.175,50.3584424595971,40.8326235093697,730.605916678089,23.20580907211,43.1908773638024,-2.99999999999999,41.8121360105629,"1986_1996",4.13636363636364,14.8636363636364,9.5,486.854546698657,24.9668998307004
"699","42_927",42.927,21,26,NA,22.7427651666667,6.34107,NA,254.930851068085,25.4647908947033,NA,80270,42,927,NA,920109,10,25,4,3,2,"S",920115,7,348,2,"0348J14",509,4629,91,45,2,2,"3","3",11,11,2,3,9,1,90,65,26,21,7,7,4,4,21,26,3,3,4,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,37,44,45,NA,NA,2,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"P305",71,NA,"2.75",NA,509000,4629000,42,"IFN2","42_927",45.4975409836066,9637.95649914545,3345.22469720085,29.0838351666667,280.395641962788,0,34.3727043390515,11.9303733602422,36.3408655521815,13.655737704918,34.7088586413256,30.0142324391518,511.107141089331,43.7319863555443,81.3943980013124,-2.89165063664269,41.8120849123483,"1986_1996",4,14.969696969697,9.48484848484848,485.018180630424,24.8920683682799
"700","42_943",42.943,21,26,NA,7.95490577777778,6.84838611111111,NA,49.7978133051975,70.7355302630646,NA,80286,42,943,NA,920109,10,13,5,3,2,"S",920115,7,348,2,"0348J13",507,4628,91,45,2,2,"3","3",11,11,2,5,9,1,90,75,26,21,7,6,4,4,21,26,3,4,4,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,26,3,1,NA,NA,NA,NA,NA,21,26,44,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,9,NA,NA,"01",265,NA,"11.5",NA,507000,4628000,42,"IFN2","42_943",40.081914893617,4711.92002451957,2202.42147027078,14.8032918888889,120.533343568262,0,39.0922535211268,18.2723004694836,39.5440010169928,18.4414893617021,46.7414866723112,46.0095018180853,251.609982123253,49.3912941429598,91.9275566535588,-2.91574004658237,41.8030984067424,"1986_1996",4,14.969696969697,9.48484848484848,485.018180630424,24.8920683682799
