"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN"
"275","1.1118.A.3E",69.7735535555556,1148.60354041164,21,15.9439355555556,203.152442915522,0.228509725290981,0.17686907254588
"285","1.112.A.3E",10.0346916666667,307.699556644331,44,5.48104444444444,134.397507499823,0.546209552471994,0.436781609195402
"286","1.112.A.3E",10.0346916666667,307.699556644331,76,4.55364722222222,173.302049144508,0.453790447528006,0.563218390804598
"288","1.1120.A.4",27.4323361111111,1690.57917328724,43,15.5698,1114.08460164327,0.567571056906585,0.658995815899582
"289","1.1120.A.4",27.4323361111111,1690.57917328724,44,9.59890277777778,534.053253486138,0.349911970271094,0.315899581589958
"297","1.1128.A.1",20.3529925555556,882.920888743572,71,15.9744925555556,214.470127757612,0.784871930353807,0.242909790097741
"299","1.1128.A.1",20.3529925555556,882.920888743572,215,3.9296,636.619772367581,0.193072344976974,0.721038295145009
"301","1.113.A.1",18.2340331111111,331.183752691668,21,7.58064666666667,104.122700547231,0.415741631073781,0.314395557454079
"302","1.113.A.1",18.2340331111111,331.183752691668,28,9.20413644444444,67.906109052542,0.504777872693222,0.205040580948313
"308","1.1132.A.1",16.4672052222222,669.158116288591,71,11.7501302222222,223.524275631284,0.713547324130364,0.334038054968288
"309","1.1132.A.1",16.4672052222222,669.158116288591,215,4.717075,445.633840657307,0.286452675869636,0.665961945031712
"325","1.1139.A.1",18.5412916666667,962.003211577678,44,5.28302777777778,173.302049144508,0.284933103515951,0.180147058823529
"327","1.1139.A.1",18.5412916666667,962.003211577678,71,10.8734638888889,502.222264867759,0.586445868193589,0.522058823529412
"328","1.114.A.4",34.539937,1491.24644900593,28,26.448937,886.457665256725,0.765749427973768,0.59444075514657
"329","1.114.A.4",34.539937,1491.24644900593,41,8.091,604.788783749202,0.234250572026232,0.405559244853429
"330","1.1140.A.1",19.18445,1379.34284012976,21,6.297025,219.2801438155,0.328235888962154,0.158974358974359
"331","1.1140.A.1",19.18445,1379.34284012976,44,11.203675,1082.25361302489,0.583997716900928,0.784615384615385
"336","1.1143.A.1",13.9948866666667,342.218495412706,44,2.50936666666667,109.64007190775,0.179305965559802,0.320380322447292
"337","1.1143.A.1",13.9948866666667,342.218495412706,71,11.48552,232.578423504956,0.820694034440198,0.679619677552708
"345","1.1149.A.1",13.19258,107.518005999858,44,5.85040666666667,34.5189387683755,0.443461905606535,0.321052631578947
