"Var1" "Freq"
"299" "34,71" 1
"300" "34,73" 1
"301" "35,41,43" 1
"302" "35,41,48" 1
"303" "35,41,54" 1
"304" "35,41,72" 1
"305" "35,43" 1
"306" "35,54,71" 1
"307" "35,55" 1
"308" "35,55,72" 1
"309" "35,57,74" 1
"310" "35,73" 1
"311" "36,48,54" 1
"312" "36,56,58" 1
"313" "36,92" 1
"314" "37,38" 1
"315" "37,44" 1
"316" "37,45,68" 1
"317" "37,45,71" 1
"318" "37,68" 1
"319" "38,39" 1
"320" "38,55" 1
"321" "4,45" 1
"322" "41,42,43,48" 1
"323" "41,42,48,71" 1
"324" "41,42,52" 1
"325" "41,42,65" 1
"326" "41,42,73,74" 1
"327" "41,43,45" 1
"328" "41,43,61" 1
"329" "41,43,64" 1
"330" "41,43,65" 1
"331" "41,43,71,78" 1
"332" "41,43,73" 1
"333" "41,44,45" 1
"334" "41,44,55" 1
"335" "41,45,41,72" 1
"336" "41,45,54" 1
"337" "41,45,72" 1
"338" "41,45,74" 1
"339" "41,45,99" 1
"340" "41,46,61" 1
"341" "41,48,28,35" 1
"342" "41,48,44,45" 1
"343" "41,48,72,41,72" 1
"344" "41,54,55" 1
"345" "41,54,61" 1
"346" "41,54,65" 1
"347" "41,54,71" 1
"348" "41,54,72,73" 1
"349" "41,55,72" 1
"350" "41,55,72,26,99" 1
"351" "41,55,73,76" 1
"352" "41,55,74" 1
"353" "41,56,71" 1
"354" "41,57,71,72" 1
"355" "41,57,74" 1
"356" "41,57,78" 1
"357" "41,58,72,92" 1
"358" "41,59,72,26,61" 1
"359" "41,59,92" 1
"360" "41,61,26,41,61,26,61" 1
"361" "41,61,41,43" 1
"362" "41,61,43,72" 1
"363" "41,61,68" 1
"364" "41,61,72,73" 1
"365" "41,62" 1
"366" "41,65,74" 1
"367" "41,68,78,44,45" 1
"368" "41,71,21,25" 1
"369" "41,71,28,61" 1
"370" "41,71,72,25,28" 1
"371" "41,71,76" 1
"372" "41,71,92" 1
"373" "41,72,35,72" 1
"374" "41,72,42,71,72" 1
"375" "41,72,73,65,99" 1
"376" "41,72,74" 1
"377" "41,72,92" 1
"378" "41,72,95" 1
"379" "41,72,99" 1
"380" "41,73,21,28" 1
"381" "41,73,26,61" 1
"382" "41,73,78" 1
"383" "41,74,92" 1
"384" "41,74,97" 1
"385" "41,76,91" 1
"386" "41,79,71,73" 1
"387" "41,92,48,72" 1
"388" "41,94" 1
"389" "42,43,44" 1
"390" "42,43,44,65" 1
"391" "42,43,55" 1
"392" "42,43,71,76,26,28" 1
"393" "42,44,45" 1
"394" "42,45,71" 1
"395" "42,45,72" 1
"396" "42,47" 1
"397" "42,48" 1
"398" "42,51,56" 1
"399" "42,52,71" 1
"400" "42,52,72" 1
"401" "42,54,55,72" 1
"402" "42,54,58,73" 1
"403" "42,54,72" 1
"404" "42,55,71" 1
"405" "42,55,74,77" 1
"406" "42,56,71" 1
"407" "42,56,72" 1
"408" "42,57,72" 1
"409" "42,58" 1
"410" "42,61" 1
"411" "42,65,71,73" 1
"412" "42,65,74" 1
"413" "42,68,72" 1
"414" "42,71,26,73" 1
"415" "42,71,31,71,78" 1
"416" "42,71,54,58" 1
"417" "42,71,78" 1
"418" "42,72,76" 1
"419" "42,72,77" 1
"420" "42,73,78" 1
"421" "42,74,76" 1
"422" "43,44,55" 1
"423" "43,44,71" 1
"424" "43,44,76" 1
"425" "43,45,25,42" 1
"426" "43,45,25,45" 1
"427" "43,45,26,43" 1
"428" "43,45,42,45,46" 1
"429" "43,45,44,45" 1
"430" "43,45,45,46" 1
"431" "43,45,46,21,45,68" 1
"432" "43,45,58" 1
"433" "43,45,71" 1
"434" "43,45,72" 1
"435" "43,45,76" 1
"436" "43,45,76,45,72" 1
"437" "43,46,58" 1
"438" "43,46,68" 1
"439" "43,46,72" 1
"440" "43,51,56" 1
"441" "43,52" 1
"442" "43,54,57" 1
"443" "43,55,71" 1
"444" "43,55,73" 1
"445" "43,55,76" 1
"446" "43,56" 1
"447" "43,58,71,73" 1
"448" "43,61,64" 1
"449" "43,65,71" 1
"450" "43,71,21,45" 1
"451" "43,71,72" 1
"452" "43,71,78" 1
"453" "43,73,26,44" 1
"454" "43,73,74" 1
"455" "43,77" 1
"456" "43,92" 1
"457" "44,45,48" 1
"458" "44,45,56,76" 1
"459" "44,45,58" 1
"460" "44,45,67" 1
"461" "44,45,71" 1
"462" "44,45,76" 1
"463" "44,46,54" 1
"464" "44,52,76" 1
"465" "44,52,76,79" 1
"466" "44,52,78" 1
"467" "44,54,76,77" 1
"468" "44,55,66" 1
"469" "44,55,76" 1
"470" "44,55,95" 1
"471" "44,57" 1
"472" "44,58" 1
"473" "44,66" 1
"474" "44,71,77" 1
"475" "44,72" 1
"476" "44,78" 1
"477" "44,93" 1
"478" "45,46,23,46" 1
"479" "45,46,24,45" 1
"480" "45,46,24,46" 1
"481" "45,46,26,28" 1
"482" "45,46,42,45" 1
"483" "45,46,42,52" 1
"484" "45,46,43,71,76" 1
"485" "45,46,55,26,46" 1
"486" "45,46,66" 1
"487" "45,46,71,78" 1
"488" "45,52,72" 1
"489" "45,54,72" 1
"490" "45,55,56" 1
"491" "45,55,71" 1
"492" "45,55,76,24,45" 1
"493" "45,57,58" 1
"494" "45,57,72" 1
"495" "45,58,72" 1
"496" "45,62" 1
"497" "45,65" 1
"498" "45,65,76" 1
"499" "45,67" 1
"500" "45,68,23,46" 1
"501" "45,68,72" 1
"502" "45,71,74" 1
"503" "45,73" 1
"504" "45,74,77" 1
"505" "45,76,24,45" 1
"506" "45,76,55,71,72,74,95" 1
"507" "45,94" 1
"508" "45,95" 1
"509" "46,47,48" 1
"510" "46,47,66" 1
"511" "46,47,72" 1
"512" "46,54,66" 1
"513" "46,55" 1
"514" "46,66,44,46" 1
"515" "46,68,24,45" 1
"516" "46,68,41,44,56,74" 1
"517" "46,74" 1
"518" "47,48,68" 1
"519" "47,67" 1
"520" "47,72" 1
"521" "48,51,72" 1
"522" "48,54" 1
"523" "48,62" 1
"524" "48,68" 1
"525" "48,71,43,71" 1
"526" "48,71,72" 1
"527" "48,79" 1
"528" "48,92" 1
"529" "51,57,58" 1
"530" "52,54" 1
"531" "52,55,56" 1
"532" "52,55,71" 1
"533" "52,55,73" 1
"534" "52,56" 1
