"","Pvalor","PlotID"
"133","1.52576877585315e-20","1 . 299"
"134","2.67780806736734e-17","1 . 302"
"135","2.84815269211708e-18","1 . 303"
"137","7.47086911476777e-26","1 . 308"
"138","6.72747289362421e-23","1 . 311"
"139","1.19090863233409e-22","1 . 314"
"140","3.37413366732955e-19","1 . 319"
"141","7.39540548049695e-23","1 . 325"
"142","2.45021615498962e-15","1 . 326"
"143","2.28039627661648e-41","1 . 328"
"145","2.28596214853107e-13","1 . 331"
"146","1.31968844865869e-20","1 . 334"
"147","5.7222036866075e-13","1 . 335"
"148","7.30842254881354e-19","1 . 337"
"149","2.99835540883634e-24","1 . 338"
"151","1.02135609301677e-24","1 . 343"
"152","7.89229374201177e-25","1 . 347"
"156","2.7084176247047e-21","1 . 353"
"157","3.59994668042592e-09","1 . 355"
"160","1.46864001011581e-15","1 . 363"
"161","3.53240956869423e-07","1 . 370"
"162","4.97334943994805e-12","1 . 371"
"163","3.67733240057827e-18","1 . 372"
"164","3.79240558170671e-13","1 . 373"
"166","2.09937530337734e-19","1 . 382"
"167","2.09322607658531e-24","1 . 395"
"168","4.52623018669199e-16","1 . 396"
"169","1.21989656307907e-08","1 . 398"
"171","1.87182376348168e-22","1 . 406"
"172","5.06188233147768e-26","1 . 407"
"173","4.82326111716398e-20","1 . 408"
"174","1.34215146138063e-16","1 . 411"
"175","1.65561243993926e-17","1 . 413"
"177","1.05329899678778e-31","1 . 417"
"178","2.29545457155991e-20","1 . 425"
"179","2.93290264295576e-25","1 . 427"
"181","3.09117492538715e-12","1 . 429"
"184","6.5011009775692e-14","1 . 444"
"185","7.86829898066138e-26","1 . 452"
"187","3.32504783240975e-22","1 . 462"
"188","4.10519699915673e-29","1 . 465"
"191","4.25581631486737e-11","1 . 485"
"192","5.70316402289803e-20","1 . 489"
"193","2.46083448927159e-25","1 . 490"
"196","4.91412784045177e-16","1 . 508"
"197","1.00833331044553e-33","1 . 509"
"198","1.45181592470613e-19","1 . 512"
"199","4.99734516712511e-14","1 . 513"
"200","1.28155785328628e-19","1 . 515"
"201","1.82270523394143e-46","1 . 516"
"202","1.22305857494376e-31","1 . 519"
"204","1.02441408230137e-36","1 . 532"
"205","1.22148094763055e-47","1 . 533"
"208","2.17487667819764e-34","1 . 537"
"209","1.00919368866474e-33","1 . 538"
"210","2.94402356059096e-17","1 . 541"
"211","2.89660092613097e-18","1 . 547"
"212","9.64258812613916e-18","1 . 553"
"213","2.1780932494671e-36","1 . 555"
"214","1.19375173114129e-25","1 . 556"
"216","4.68786368212827e-34","1 . 562"
"219","3.14669557442152e-22","1 . 572"
"220","1.21796709567455e-42","1 . 573"
"221","9.78478796577153e-38","1 . 578"
"223","2.25998359717761e-31","1 . 580"
"224","2.0435316037843e-28","1 . 581"
"225","3.49968777957954e-25","1 . 582"
"227","1.76532381087072e-08","1 . 588"
"231","9.75007576119223e-22","1 . 596"
"234","1.15054060953033e-07","1 . 602"
"235","3.94900855374348e-09","1 . 608"
"236","1.33142588862386e-38","1 . 609"
"239","8.95285418233759e-25","1 . 619"
"240","4.96385002722687e-28","1 . 622"
"241","4.54356276143288e-32","1 . 623"
"243","2.2815014868339e-33","1 . 625"
"244","1.13459026548922e-16","1 . 638"
"245","2.31236407844147e-31","1 . 642"
"246","2.11185352883437e-22","1 . 647"
"248","4.3971237356621e-16","1 . 650"
"249","2.87314135091338e-35","1 . 660"
"250","3.79653322212948e-33","1 . 668"
"251","7.87067397291256e-38","1 . 671"
"252","6.41023117159101e-59","1 . 673"
"253","1.39092777559722e-34","1 . 676"
"254","3.72322312950115e-44","1 . 677"
"256","9.25965566098227e-45","1 . 689"
"257","1.5140746349006e-26","1 . 690"
"258","9.61855248622226e-18","1 . 710"
"260","6.19836811707406e-19","1 . 714"
"261","2.82699387552547e-37","1 . 725"
"262","7.6521445649942e-31","1 . 732"
"263","8.99926428496375e-41","1 . 736"
"266","7.63261321009179e-43","1 . 749"
"267","5.42651403098383e-34","1 . 753"
"268","2.31136247756427e-27","1 . 755"
"269","4.83464493960295e-26","1 . 756"
"270","3.88260258566291e-22","1 . 757"
"271","2.33932080824854e-38","1 . 758"
"272","1.78495318225946e-22","1 . 759"
"275","2.9588790526069e-11","1 . 763"
"276","4.43416935433064e-17","1 . 766"
"277","2.39819816951007e-18","1 . 768"
"278","2.34854349502317e-24","1 . 769"
"279","5.62808301191817e-36","1 . 770"
"280","2.86148133678834e-23","1 . 771"
"281","1.47825534139599e-23","1 . 772"
"285","2.64417147400275e-12","1 . 776"
"286","1.93265727398863e-28","1 . 779"
"287","1.92243266444264e-17","1 . 780"
"288","2.60244381744892e-24","1 . 781"
"289","6.75272691645075e-27","1 . 784"
"291","4.10822293700693e-24","1 . 787"
"292","1.24364904640686e-32","1 . 789"
"293","2.97860951121173e-29","1 . 791"
"294","2.1566145835118e-22","1 . 792"
"295","1.29518847862123e-55","1 . 795"
"296","9.86337769836069e-23","1 . 796"
"297","8.30509321146836e-25","1 . 799"
