"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN"
"143","1.113.A.1",20.3801955555556,323.261373302205,28,9.69743066666667,54.8907714841381,0.475826183327431,0.16980306345733
"151","1.1139.A.1",23.6742083333333,1078.71683651173,44,5.24517777777778,152.081390065589,0.221556628374878,0.140983606557377
"153","1.1139.A.1",23.6742083333333,1078.71683651173,71,16.0014805555556,703.818526117493,0.675903511967724,0.652459016393443
"154","1.1143.A.1",15.9406733333333,374.049484031086,44,3.49705555555556,141.471060526129,0.219379412803279,0.37821482602118
"155","1.1143.A.1",15.9406733333333,374.049484031086,71,12.4436177777778,232.578423504956,0.780620587196721,0.62178517397882
"160","1.1149.A.1",14.7863524444444,121.665112052471,44,6.16806088888889,34.5189387683755,0.417145534171706,0.283720930232558
"161","1.1149.A.1",14.7863524444444,121.665112052471,71,8.61829155555556,87.1461732840956,0.582854465828294,0.716279069767442
"166","1.1151.A.1",18.5391568888889,223.524275631284,25,14.4058608888889,203.152442915522,0.777050486989664,0.908860759493671
"167","1.1151.A.1",18.5391568888889,223.524275631284,44,4.133296,20.3718327157626,0.222949513010336,0.0911392405063291
"171","1.1157.A.1",14.0334911111111,301.757772102234,71,5.05698,52.6272345157201,0.360350817908461,0.174402250351617
"174","1.1157.A.1",14.0334911111111,301.757772102234,255,2.97413333333333,33.3871702841665,0.211931108929733,0.110642287857478
"175","1.1157.A.1",14.0334911111111,301.757772102234,476,2.19877777777778,28.2942121052258,0.156680740406561,0.093764650726676
"178","1.1161.A.1",18.3455462222222,941.48990780139,44,7.76927333333333,574.513976796611,0.423496430099329,0.610217881292262
"179","1.1161.A.1",18.3455462222222,941.48990780139,71,8.15287288888889,80.4970334393675,0.444406113076818,0.0854996243425996
"183","1.1165.A.1",34.209772,1856.38325622387,44,13.631771,673.543719164901,0.398475938395614,0.362825788751715
"184","1.1165.A.1",34.209772,1856.38325622387,71,9.700651,387.064821599489,0.283563743131641,0.208504801097394
"185","1.1165.A.1",34.209772,1856.38325622387,76,10.00735,668.45076098596,0.292528988500713,0.360082304526749
"193","1.1175.A.1",20.629341,1203.63578295631,44,5.771275,572.957795130823,0.279760511981454,0.476022566995769
"194","1.1175.A.1",20.629341,1203.63578295631,71,11.837116,503.354033351968,0.573800006505297,0.418194640338505
"202","1.1187.A.1",25.8782476666667,1335.20386924561,44,17.4098636666667,433.750271573112,0.672760531969559,0.324856961220598
"204","1.1187.A.1",25.8782476666667,1335.20386924561,76,5.7868,763.943726841098,0.223616377528293,0.572155117609663
"209","1.1191.A.1",35.4614864444444,369.097996912671,43,9.378316,40.7436654315252,0.264464830449014,0.110387121502491
"210","1.1191.A.1",35.4614864444444,369.097996912671,44,23.1568426666667,155.052282336638,0.653013874727029,0.420084323495592
"219","1.1201.A.1",34.1927386666667,2863.94014929096,44,5.27905,700.281749604339,0.154390967376543,0.244516893894487
"221","1.1201.A.1",34.1927386666667,2863.94014929096,71,22.0463858888889,1562.40639245057,0.644768063295882,0.545544358822367
"227","1.1209.A.1",28.085236,304.728664373282,44,11.1948137777778,181.931783836602,0.398601378239363,0.59702878365831
"228","1.1209.A.1",28.085236,304.728664373282,71,16.8904222222222,122.79688053668,0.601398621760637,0.40297121634169
"237","1.1227.A.1",17.4952826666667,616.955294954449,21,4.04208266666667,61.6813823893923,0.231038431540632,0.0999770694794772
"239","1.1227.A.1",17.4952826666667,616.955294954449,44,12.7394,427.949958091541,0.728161999021146,0.69364824581518
