"","PlotID","G","N"
"82","1.275.A.1",32.7244061111111,693.491138699085
"83","1.279.A.1",22.7901684444444,323.685786483784
"84","1.283.A.1",42.6303327777778,621.906782072864
"85","1.285.A.1",25.5678591111111,198.625368978685
"86","1.287.A.1",26.9339546666667,111.47919569459
"87","1.293.A.1",30.817835,469.825392007275
"88","1.3.A.1",31.750308,189.288278983961
"89","1.329.A.1",24.534294,919.278951298787
"90","1.341.A.1",24.8785805555556,454.546517470453
"91","1.349.A.1",31.8715377777778,282.376236810154
"92","1.357.A.1",25.2224066666667,121.099227810367
"93","1.359.A.1",13.0542355555556,151.656976884011
"94","1.375.A.1",19.5792277777778,389.328358567908
"95","1.379.A.1",33.6861903333333,396.260440533688
"96","1.387.A.1",19.5752192222222,1403.67586254025
"97","1.39.A.1",31.2078658888889,734.800688372715
"98","1.391.A.1",11.8189057777778,326.515207694306
"99","1.393.A.1",23.8230721111111,717.116805806949
"100","1.403.A.1",29.387616,214.753069878664
"101","1.411.A.1",10.4960833333333,693.208196578033
"102","1.415.A.1",17.787784,45.8366236104659
"103","1.433.A.1",35.9600466666667,1811.11251685551
"104","1.437.A.1",15.1975722222222,329.627571025881
"105","1.455.A.1",32.9928977777778,1780.55476778186
"106","1.465.A.1",24.6584361111111,739.186291249025
"107","1.467.A.1",27.7507562222222,470.249805188853
"108","1.483.A.1",26.3112925555556,1044.90525304599
"109","1.487.A.1",31.0058686666667,1011.80102488288
"110","1.501.A.1",28.6559984444444,787.003509706857
"111","1.506.A.1",25.6745801111111,1391.08493815343
"112","1.525.A.1",26.7807113333333,830.293654227852
"113","1.565.A.1",28.7101505555556,1590.27619137422
"114","1.583.A.1",37.5192274444444,445.067956415202
"115","1.585.A.1",11.6121972222222,353.677651315323
"116","1.601.A.1",26.1226785555556,112.18655099722
"117","1.613.A.1",43.2453122222222,1136.01261602482
"118","1.621.A.1",36.2749472222222,605.071725870255
"119","1.627.A.1",28.269187,788.559691372644
"120","1.632.A.1",49.4924914444444,739.327762309551
"121","1.633.A.1",11.3630666666667,226.353696841807
"122","1.635.A.1",37.6541361111111,1427.01858752707
"123","1.637.A.1",42.6706143333333,669.158116288591
"124","1.641.A.1",31.9012635555556,1792.72127898711
"125","1.644.A.1",24.6357333333333,1305.07053335354
"126","1.655.A.1",18.5187696666667,674.251074467532
"127","1.661.A.1",11.969932,59.9837296630788
"128","1.663.A.1",21.8630662222222,815.297721812083
"129","1.666.A.1",18.6163662222222,175.989999294505
"130","1.669.A.1",37.5613805555556,686.134643551727
"131","1.67.A.4",15.3240111111111,181.082957473445
"132","1.670.A.1",17.5529223333333,352.404411770588
"133","1.677.A.4",35.3424186666667,849.109305277827
"134","1.687.A.1",40.7298748888889,1155.67709343795
