"","Pvalor","PlotID"
"135","0","1 . 427"
"136","0.03","1 . 428"
"137","0.01","1 . 429"
"138","0.11","1 . 430"
"139","0","1 . 444"
"140","0.04","1 . 452"
"141","0","1 . 462"
"142","0.01","1 . 465"
"143","0","1 . 466"
"144","0","1 . 482"
"145","0.13","1 . 489"
"146","0.02","1 . 490"
"147","0.03","1 . 494"
"148","0","1 . 495"
"149","0","1 . 508"
"150","0","1 . 509"
"151","0.02","1 . 512"
"152","0.04","1 . 513"
"153","0","1 . 515"
"154","0","1 . 516"
"155","0.06","1 . 519"
"156","0","1 . 528"
"157","0.48","1 . 532"
"158","0","1 . 533"
"159","0","1 . 535"
"160","0","1 . 536"
"161","0","1 . 537"
"162","0.02","1 . 538"
"163","0","1 . 541"
"164","0.19","1 . 547"
"165","0","1 . 553"
"166","0.1","1 . 555"
"167","0","1 . 556"
"168","0","1 . 558"
"169","0","1 . 562"
"170","0.03","1 . 569"
"171","0.13","1 . 572"
"172","0.05","1 . 573"
"173","0.02","1 . 578"
"174","0","1 . 579"
"175","0","1 . 580"
"176","0.03","1 . 581"
"177","0.01","1 . 586"
"178","0.01","1 . 588"
"179","0","1 . 591"
"180","0","1 . 595"
"181","0","1 . 596"
"182","0.11","1 . 599"
"183","0","1 . 600"
"184","0.01","1 . 608"
"185","0.01","1 . 609"
"186","0","1 . 614"
"187","0","1 . 618"
"188","0.03","1 . 619"
"189","0","1 . 622"
"190","0.02","1 . 623"
"191","0.01","1 . 625"
"192","0.02","1 . 638"
"193","0","1 . 642"
"194","0","1 . 647"
"195","0.42","1 . 648"
"196","0","1 . 660"
"197","0","1 . 668"
"198","0.01","1 . 671"
"199","0","1 . 673"
"200","0.11","1 . 676"
"201","0","1 . 677"
"202","0","1 . 689"
"203","0.07","1 . 690"
"204","0.13","1 . 710"
"205","0.05","1 . 712"
"206","0.03","1 . 714"
"207","0","1 . 725"
"208","0.06","1 . 732"
"209","0","1 . 736"
"210","0","1 . 740"
"211","0.01","1 . 749"
"212","0.01","1 . 753"
"213","0","1 . 755"
"214","0","1 . 756"
"215","0.03","1 . 757"
"216","0","1 . 758"
"217","0","1 . 759"
"218","0.03","1 . 760"
"219","0","1 . 761"
"220","0.31","1 . 763"
"221","0.01","1 . 766"
"222","0","1 . 768"
"223","0.01","1 . 769"
"224","0","1 . 770"
"225","0.02","1 . 771"
"226","0","1 . 772"
"227","0","1 . 773"
"228","0.09","1 . 774"
"229","0.01","1 . 775"
"230","0","1 . 776"
"231","0.04","1 . 779"
"232","0","1 . 780"
"233","0.05","1 . 781"
"234","0.06","1 . 784"
"235","0.01","1 . 787"
"236","0.01","1 . 789"
"237","0","1 . 791"
"238","0","1 . 792"
"239","0","1 . 795"
"240","0.14","1 . 796"
"241","0","1 . 799"
"242","0.05","1 . 810"
"243","0","1 . 826"
"244","0.01","1 . 829"
"245","0.08","1 . 836"
