"","Pvalor","PlotID"
"495","0","9.1600.A.1"
"496","0.05","9.1604.A.1"
"497","0","9.1607.A.1"
"498","0","9.1610.A.1"
"499","0.01","9.1611.A.1"
"500","0","9.1613.A.1"
"501","0","9.1614.A.1"
"502","0","9.1616.A.4"
"503","0","9.1619.A.4"
"504","0.02","9.1624.A.1"
"505","0","9.1629.A.1"
"506","0","9.1630.A.1"
"507","0","9.1632.A.1"
"508","0","9.1637.A.4"
"509","0.01","9.1638.A.1"
"510","0","9.1646.A.4"
"511","0","9.1647.A.1"
"512","0","9.1649.A.1"
"513","0","9.1658.A.1"
"514","0","9.1661.A.1"
"515","0","9.1666.A.1"
"516","0","9.1673.A.1"
"517","0.02","9.1677.A.1"
"518","0","9.1685.A.1"
"519","0.01","9.1713.A.1"
"520","0","9.1722.A.1"
"521","0","9.1735.A.1"
"522","0","9.1746.A.1"
"523","0.14","9.1747.A.1"
"524","0","9.1749.A.1"
"525","0","9.1754.A.1"
"526","0","9.1760.A.1"
"527","0.02","9.1764.A.1"
"528","0","9.1765.A.1"
"529","0","9.1766.A.1"
"530","0","9.1770.A.1"
"531","0","9.1772.A.1"
"532","0","9.1784.A.1"
"533","0","9.1790.A.1"
"534","0","9.1792.A.1"
"535","0","9.1794.A.1"
"536","0","9.1796.A.1"
"537","0.04","9.1832.A.1"
"538","0","9.1839.A.1"
"539","0","9.1863.A.1"
"540","0","9.1866.A.1"
"541","0","9.1868.A.1"
"542","0","9.1877.A.1"
"543","0","9.1890.A.1"
"544","0","9.1895.A.1"
"545","0","9.1898.A.1"
"546","0.03","9.1902.A.1"
"547","0","9.1903.A.1"
"548","0","9.1904.A.1"
"549","0.01","9.1905.A.1"
"550","0.03","9.1911.A.1"
"551","0","9.1916.A.1"
"552","0.02","9.1919.A.1"
"553","0","9.1921.A.1"
"554","0","9.1922.A.1"
"555","0","9.1925.A.1"
"556","0","9.1928.A.1"
"557","0","9.1940.A.1"
"558","0","9.1941.A.1"
"559","0.01","9.1948.A.1"
"560","0.04","9.1950.A.1"
"561","0","9.1956.A.1"
"562","0","9.1957.A.1"
"563","0.02","9.1958.A.1"
"564","0","9.1959.A.1"
"565","0","9.1961.A.1"
"566","0","9.1962.A.1"
"567","0","9.1964.A.1"
"568","0","9.1965.A.1"
"569","0.01","9.1966.A.1"
"570","0","9.1969.A.1"
"571","0","9.1974.A.1"
"572","0.02","9.1975.A.1"
"573","0","9.1976.A.1"
"574","0","9.1980.A.1"
"575","0.01","9.1983.A.1"
"576","0","9.1988.A.1"
"577","0","9.1995.A.1"
"578","0","9.1996.A.1"
"579","0.01","9.1997.A.4"
"580","0","9.1999.A.1"
"581","0","9.2011.A.4"
"582","0","9.2016.A.1"
"583","0","9.2037.A.1"
"584","0.03","9.2056.A.1"
"585","0","9.2058.A.4"
"586","0","9.2061.A.1"
"587","0","9.2067.A.1"
"588","0","9.2078.A.1"
"589","0","9.2079.A.4"
"590","0","9.2097.A.1"
"591","0","9.2101.A.1"
"592","0","9.2102.A.1"
"593","0","9.2106.A.1"
"594","0","9.2117.A.1"
"595","0","9.2122.A.1"
"596","0.06","9.2130.A.1"
"597","0","9.2132.A.1"
"598","0","9.2142.A.1"
"599","0.05","9.2144.A.1"
"600","0","9.2174.A.1"
"601","0","9.2186.A.1"
"602","0","9.2187.A.4"
"603","0","9.2188.A.1"
"604","0","9.2194.A.1"
"605","0.09","9.2212.A.1"
"606","0.23","9.2219.A.1"
"607","0","9.2228.A.1"
"608","0","9.2229.A.1"
"609","0","9.2230.A.1"
"610","0.09","9.2250.A.1"
"611","0","9.2252.A.1"
"612","0.11","9.2268.A.1"
"613","0","9.2271.A.1"
"614","0","9.2274.A.1"
"615","0","9.2282.A.1"
"616","0","9.2286.A.1"
"617","0","9.2297.A.1"
"618","0","9.2299.A.1"
"619","0","9.2316.A.1"
"620","0","9.2319.A.1"
"621","0","9.2333.A.1"
"622","0.06","9.2341.A.1"
"623","0","9.2346.A.1"
"624","0","9.2355.A.1"
"625","0","9.2359.A.1"
"626","0.01","9.2364.A.1"
"627","0.22","9.2366.A.1"
"628","0","9.2383.A.1"
"629","0","9.2389.A.1"
"630","0.02","9.2391.A.1"
"631","0","9.2393.A.1"
"632","0","9.2394.A.4"
"633","0","9.2396.A.1"
"634","0","9.2401.A.1"
"635","0","9.2402.A.1"
"636","0","9.2403.A.1"
"637","0","9.2404.A.1"
"638","0","9.2406.A.1"
"639","0.34","9.2427.A.1"
"640","0.12","9.2444.A.1"
"641","0","9.2461.A.1"
"642","0","9.2462.A.1"
"643","0.01","9.2466.A.1"
"644","0","9.2467.A.1"
"645","0","9.2476.A.1"
"646","0","9.2494.A.1"
"647","0","9.2512.A.1"
"648","0","9.2523.A.1"
"649","0","9.2527.A.1"
"650","0","9.2539.A.1"
"651","0","9.2541.A.1"
"652","0","9.2544.A.1"
"653","0","9.2545.A.1"
