"","PlotID","G","N"
"137","1 . 366",16.1629084444444,509.578760015117
"138","1 . 368",41.8717771111111,403.051051438942
"139","1 . 375",11.3334102222222,227.485465326016
"140","1 . 379",24.5884734444444,400.363101288946
"141","1 . 380",14.7230551111111,794.92588909632
"142","1 . 386",25.5965666666667,281.951823628575
"143","1 . 390",13.8182822222222,569.703960738722
"144","1 . 392",29.3838418888889,1055.7985247065
"145","1 . 393",12.0707644444444,195.654476707637
"146","1 . 394",32.6987706666667,531.223832275615
"147","1 . 402",11.6186364444444,209.377169578671
"148","1 . 403",32.634731,315.338993912742
"149","1 . 414",16.8432815555556,223.524275631284
"150","1 . 415",23.343612,66.2084563262285
"151","1 . 420",19.7105584444444,787.003509706857
"152","1 . 426",21.4281888888889,1361.23454438241
"153","1 . 433",26.7317585555556,1347.37038045085
"154","1 . 442",26.1025027777778,908.95156388038
"155","1 . 455",20.3471805555556,1375.80606361661
"156","1 . 458",20.9051804444444,936.396949622449
"157","1 . 467",21.1235804444444,304.870135433808
"158","1 . 470",16.6763638888889,622.472666314968
"159","1 . 472",13.0623444444444,657.840431446501
"160","1 . 473",18.4372777777778,884.194128288307
"161","1 . 476",10.5907172222222,303.738366949599
"162","1 . 483",18.8048444444444,806.385044998936
"163","1 . 484",30.2958814444444,497.836661991449
"164","1 . 487",23.8876803333333,747.391612759541
"165","1 . 491",15.1350156666667,494.724298659874
"166","1 . 503",12.7399194444444,236.964026381266
"167","1 . 505",13.2968778888889,434.599097936269
"168","1 . 510",33.7529978888889,1877.60391530279
"169","1 . 531",26.1016785555556,698.301154756974
"170","1 . 546",11.167725,785.164385920017
"171","1 . 552",20.376675,2291.83118052329
"172","1 . 56",20.4406673333333,475.48423442832
"173","1 . 565",16.4275998888889,482.557787454627
"174","1 . 567",34.4042138888889,2051.33037762887
"175","1 . 583",35.1695547777778,521.745271220364
"176","1 . 598",30.3950083333333,1142.37881374849
"177","1 . 6",22.6835888888889,763.943726841098
"178","1 . 601",20.904536,61.1154981472878
"179","1 . 605",50.5683472222222,1768.38825657661
"180","1 . 606",17.4869951111111,307.982498765383
"181","1 . 612",17.288562,359.053551615316
"182","1 . 613",29.9535926666667,971.340301572403
"183","1 . 616",21.7389972222222,1503.13001809012
"184","1 . 621",29.4338113333333,660.528381596497
"185","1 . 627",22.1207477777778,773.280816835822
"186","1 . 632",36.9705447777778,485.670150786202
"187","1 . 633",16.2399583333333,859.436692696235
"188","1 . 634",35.4676105555556,484.821324423045
"189","1 . 635",18.2751848888889,548.483301659803
"190","1 . 636",20.4295305555556,714.428855656952
"191","1 . 637",32.0097764444444,646.805688725463
"192","1 . 639",20.1256083333333,937.245775985606
"193","1 . 640",26.9089353333333,708.062657933277
"194","1 . 641",33.4137632222222,1456.30309705597
"195","1 . 655",25.2260446666667,803.980036969992
"196","1 . 658",27.102811,996.097737164476
"197","1 . 661",29.4946422222222,156.184050820847
"198","1 . 663",13.6282718888889,508.446991530908
"199","1 . 666",10.9147196666667,163.823488089258
"200","1 . 669",34.0105277777778,951.392882038219
"201","1 . 670",12.4997511111111,190.561518528696
"202","1 . 680",28.7368098888889,979.262680961866
"203","1 . 681",22.6454595555556,1205.19196462209
"204","1 . 682",33.3441965555556,1074.1897625749
"205","1 . 687",41.6437055555556,1223.72467355102
