"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN","PlotID0"
"79","1.1030",15.56115,806.385044998936,25,4.1497,106.103295394597,0.266670522422829,0.131578947368421,"9.995"
"80","1.1030",15.56115,806.385044998936,43,8.970625,572.957795130823,0.576475710342744,0.710526315789474,"9.995"
"81","1.1030",15.56115,806.385044998936,44,2.440825,127.323954473516,0.156853767234427,0.157894736842105,"9.995"
"83","1.1031",38.4484944444444,832.698662256796,71,29.556025,602.808188901837,0.76871735622071,0.723921168875297,"9.995"
"84","1.1031",38.4484944444444,832.698662256796,78,7.41480277777778,215.743367302347,0.192850276322046,0.259089364593952,"9.995"
"86","1.1032",28.9814893333333,1375.66459255608,71,11.9375893333333,69.037877536751,0.411903929298872,0.0501851090086384,"9.995"
"87","1.1032",28.9814893333333,1375.66459255608,74,15.2082,1287.38665078778,0.524755640577386,0.935828877005348,"9.995"
"101","1.1038",20.5556847777778,575.64574528082,21,13.1864297777778,156.749935062951,0.641497956420955,0.272302777095109,"9.995"
"102","1.1038",20.5556847777778,575.64574528082,42,6.260975,413.802852038928,0.304586058196834,0.718849840255591,"9.995"
"111","1.1043",13.2244083333333,1260.64862034834,15,3.152,286.478897565412,0.238347147225868,0.227247222533947,"9.995"
"112","1.1043",13.2244083333333,1260.64862034834,44,2.21020833333333,77.809083289371,0.167130980655089,0.0617214678487263,"9.995"
"113","1.1043",13.2244083333333,1260.64862034834,65,3.119,381.971863420549,0.235851761483973,0.302996296711929,"9.995"
"114","1.1043",13.2244083333333,1260.64862034834,76,3.96,387.064821599489,0.299446289027423,0.307036247334755,"9.995"
"154","1.1077",21.2541547777778,656.991605083344,44,7.33576666666667,279.405344539105,0.345145066617119,0.425279931093885,"9.995"
"155","1.1077",21.2541547777778,656.991605083344,71,13.0744881111111,250.262306070723,0.615149755321303,0.380921619293712,"9.995"
"160","1.1084",11.93315,1018.59163578813,25,2.6986,318.309886183791,0.226143139070572,0.3125,"9.995"
"161","1.1084",11.93315,1018.59163578813,43,9.23455,700.281749604339,0.773856860929428,0.6875,"9.995"
"186","1.1099",31.8868222222222,1358.12218105084,18,17.6617638888889,643.693325393888,0.553889119643294,0.473958333333333,"9.995"
"187","1.1099",31.8868222222222,1358.12218105084,21,12.4406333333333,618.935889801815,0.390149675205431,0.455729166666667,"9.995"
"190","1.1100",17.479325,831.142480591009,25,11.76165,576.494571643976,0.672889256307094,0.693617021276596,"9.995"
"191","1.1100",17.479325,831.142480591009,33,5.717675,254.647908947033,0.327110743692906,0.306382978723404,"9.995"
"192","1.1101",14.9514111111111,357.214427828476,21,5.62923333333333,152.081390065589,0.376501809193781,0.425742574257426,"9.995"
"193","1.1101",14.9514111111111,357.214427828476,25,8.59162222222222,190.985931710274,0.574636210480319,0.534653465346535,"9.995"
"201","1.1107",19.2151924444444,987.043589290803,41,3.01505,254.647908947033,0.156909695737745,0.257990540346854,"9.995"
"202","1.1107",19.2151924444444,987.043589290803,71,14.4890924444444,573.240737251875,0.754043577046431,0.580765371936362,"9.995"
"206","1.111",28.6197888888889,1598.62298394526,21,5.94818611111111,233.427249868113,0.207834730514745,0.146017699115044,"9.995"
"207","1.111",28.6197888888889,1598.62298394526,44,22.6716027777778,1365.19573407715,0.792165269485255,0.853982300884956,"9.995"
"229","1.1120",26.6706444444444,2383.78736986528,41,18.8766944444444,1619.84364302418,0.707770465905502,0.679525222551929,"9.995"
"230","1.1120",26.6706444444444,2383.78736986528,43,6.58255,700.281749604339,0.246808809352605,0.293768545994065,"9.995"
"239","1.113",28.2640335555556,507.315223046699,21,13.74375,233.427249868113,0.486262867364115,0.460122699386503,"9.995"
"240","1.113",28.2640335555556,507.315223046699,28,13.2546835555556,146.56401870507,0.468959376569599,0.288901282766313,"9.995"
"244","1.1132",11.8612714444444,430.637908241537,15,3.130775,190.985931710274,0.263949359448003,0.443495400788436,"9.995"
"245","1.1132",11.8612714444444,430.637908241537,71,8.73049644444444,239.651976531263,0.736050640551997,0.556504599211564,"9.995"
"249","1.1136",32.2815956666667,1742.35758143981,15,6.192325,541.126806512444,0.191822147329417,0.310571614160442,"9.995"
