"","X","Provincia","Estadillo","nArbol","Tipo","OrdenIFActual","bearing","distance","species","dbh_1","dbh_2","Calidad","Forma","height","ParEsp","PlotID0","INVENTORY_ID","PLOT_ID_short","PLOT_ID","TREE_ID_IFN2","TREE_ID","dbh","expan","g","slenderness","dead"
"22426",12793,1,762,15,NA,15,106,"06,4",43,192,213,2,2,13,NA,1.762,"IFN2","1_762","1_762","1_762_15","IFN2_1_762_15",20.25,31.8309886183791,322.062334378166,64.1975308641975,0
"22427",12794,1,762,16,NA,16,116,"13,5",21,233,232,2,2,16,NA,1.762,"IFN2","1_762","1_762","1_762_16","IFN2_1_762_16",23.25,14.1471060526129,424.556794701533,68.8172043010753,0
"22428",12795,1,762,17,NA,17,128,"09,3",21,286,279,2,2,15,NA,1.762,"IFN2","1_762","1_762","1_762_17","IFN2_1_762_17",28.25,14.1471060526129,626.796821776376,53.0973451327434,0
"22429",12796,1,762,18,NA,18,148,"06,2",21,201,193,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_18","IFN2_1_762_18",19.7,31.8309886183791,304.805173232916,71.0659898477157,0
"22430",12797,1,762,19,NA,19,155,"14,5",21,249,251,2,2,15,NA,1.762,"IFN2","1_762","1_762","1_762_19","IFN2_1_762_19",25,14.1471060526129,490.873852123405,60,0
"22431",12798,1,762,20,NA,20,155,"09,1",21,247,243,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_20","IFN2_1_762_20",24.5,14.1471060526129,471.435247579318,57.1428571428571,0
"22432",12799,1,762,21,NA,21,157,"12,5",21,239,252,2,2,15.5,NA,1.762,"IFN2","1_762","1_762","1_762_21","IFN2_1_762_21",24.55,14.1471060526129,473.361436575051,63.1364562118126,0
"22433",12800,1,762,22,NA,22,165,"08,1",43,162,153,3,2,12.5,NA,1.762,"IFN2","1_762","1_762","1_762_22","IFN2_1_762_22",15.75,31.8309886183791,194.82783190778,79.3650793650794,0
"22434",12801,1,762,23,NA,23,166,"08,9",43,228,200,3,2,13,NA,1.762,"IFN2","1_762","1_762","1_762_23","IFN2_1_762_23",21.4,31.8309886183791,359.680942909495,60.7476635514019,0
"22435",12802,1,762,24,NA,24,173,"04,6",21,261,268,2,2,15,NA,1.762,"IFN2","1_762","1_762","1_762_24","IFN2_1_762_24",26.45,14.1471060526129,549.466518608263,56.710775047259,0
"22436",12803,1,762,25,NA,25,176,"12,2",21,242,233,3,2,10,NA,1.762,"IFN2","1_762","1_762","1_762_25","IFN2_1_762_25",23.75,14.1471060526129,443.013651541373,42.1052631578947,0
"22437",12804,1,762,26,NA,26,177,"03,4",43,135,120,3,5,7,NA,1.762,"IFN2","1_762","1_762","1_762_26","IFN2_1_762_26",12.75,31.8309886183791,127.676288937298,54.9019607843137,0
"22438",12805,1,762,27,NA,27,186,"06,0",21,210,192,2,2,11.5,NA,1.762,"IFN2","1_762","1_762","1_762_27","IFN2_1_762_27",20.1,31.8309886183791,317.308711994203,57.2139303482587,0
"22439",12806,1,762,28,NA,28,194,"08,5",21,176,183,2,2,11,NA,1.762,"IFN2","1_762","1_762","1_762_28","IFN2_1_762_28",17.95,31.8309886183791,253.057251742066,61.2813370473538,0
"22440",12807,1,762,29,3,29,219,"06,2",21,230,232,2,2,14.5,NA,1.762,"IFN2","1_762","1_762","1_762_29","IFN2_1_762_29",23.1,14.1471060526129,419.096313970512,62.7705627705628,0
"22441",12808,1,762,30,NA,30,255,"05,8",43,123,130,3,5,6.5,NA,1.762,"IFN2","1_762","1_762","1_762_30","IFN2_1_762_30",12.65,31.8309886183791,125.681377602268,51.3833992094862,0
"22442",12809,1,762,31,NA,31,260,"08,0",21,292,280,2,2,17,NA,1.762,"IFN2","1_762","1_762","1_762_31","IFN2_1_762_31",28.6,14.1471060526129,642.424281732577,59.4405594405594,0
"22443",12810,1,762,32,NA,32,264,"04,6",43,110,105,3,5,8.5,NA,1.762,"IFN2","1_762","1_762","1_762_32","IFN2_1_762_32",10.75,127.323954473516,90.7625752576176,79.0697674418605,0
"22444",12811,1,762,33,NA,33,264,"03,9",43,107,102,3,5,6.5,NA,1.762,"IFN2","1_762","1_762","1_762_33","IFN2_1_762_33",10.45,127.323954473516,85.7674429384098,62.200956937799,0
"22445",12812,1,762,34,NA,34,269,"12,0",21,295,313,2,2,17,NA,1.762,"IFN2","1_762","1_762","1_762_34","IFN2_1_762_34",30.4,14.1471060526129,725.833566685386,55.921052631579,0
