"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"62793",31,174,NA,900407,NA,NA,NA,NA,NA,"3",901907,NA,"0006","1","0006113","044","0017","89","226",NA,NA,NA,NA,NA,"03",NA,"5",NA,"1",NA,"80",NA,"72",NA,"7",NA,"3",NA,"41",NA,"2",NA,"4",NA,"74",NA,"1",NA,"2","72","3","3",NA,"41","3","6",NA,"74","3","3",NA,"72","41","74",NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"5","1","2",NA,"0",NA,"0","4",NA,NA,"M406","262",NA,"13.00",NA,"31.174",44000,17000,31
"62813",31,194,NA,900407,NA,NA,NA,NA,NA,"3",901907,NA,"0006","1","0060127","043","0022","88","050",NA,NA,NA,NA,NA,"06",NA,"5",NA,"1",NA,"75",NA,"72",NA,"6",NA,"4",NA,"41",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"72","3","6",NA,"41","3","6",NA,NA,NA,NA,NA,"41","72","57",NA,NA,NA,NA,"2","10","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","098",NA,"14.00",NA,"31.194",43000,22000,31
"62825",31,206,NA,900407,NA,NA,NA,NA,NA,"4",902307,NA,"0007","1","0070133","043","0016","89","117",NA,NA,NA,NA,NA,"03",NA,"5",NA,"1",NA,"65",NA,"41",NA,"7",NA,"4",NA,"72",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72",NA,NA,NA,NA,NA,"2","02","W","17",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"G403","088",NA,"17.50",NA,"31.206",43000,16000,31
"62840",31,221,NA,900407,NA,NA,NA,NA,NA,"4",902307,NA,"0007","1","0007145","043","0006","89","226",NA,NA,NA,NA,NA,"04",NA,"5",NA,"1",NA,"50",NA,"72",NA,"4",NA,"4",NA,"41",NA,"2",NA,"4",NA,"35",NA,"2",NA,"4","72","3","6",NA,"41","3","6",NA,"35","1","2","28","72","41","71","35","28","65","91","3","02","W","20",NA,NA,NA,"2","1","2",NA,"0",NA,"0","0",NA,NA,"G406","173",NA,"15.50",NA,"31.221",43000,6000,31
"62853",31,234,NA,900507,NA,NA,NA,NA,NA,"4",902307,NA,"0008","1","0080165","043","0029","89","090",NA,NA,NA,NA,NA,NA,NA,"5",NA,"1",NA,"70",NA,"41",NA,"7",NA,"4",NA,"72",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72",NA,NA,NA,NA,NA,"2","01","W","05",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"M902","106",NA,"17.50",NA,"31.234",43000,29000,31
"62858",31,239,NA,900507,NA,NA,NA,NA,NA,"4",902407,NA,"0008","1","0080170","024","0021","89","129",NA,NA,NA,NA,NA,"04",NA,"5",NA,"1",NA,"85",NA,"41",NA,"4",NA,"4",NA,"71",NA,"3",NA,"3",NA,"72",NA,"2",NA,"4","41","4","6",NA,"71","3","6",NA,"72","3","6",NA,"41","71","72","74","76","57",NA,"3","01","W","14",NA,NA,NA,"1","2","2",NA,"0",NA,"0","0",NA,NA,"P902","125",NA,"9.00",NA,"31.239",24000,21000,31
"62896",31,277,NA,901308,NA,NA,NA,NA,NA,"5",901708,NA,"0009","1","0090207","040","0003","88","050",NA,NA,NA,NA,NA,"03",NA,"5",NA,"1",NA,"50",NA,"41",NA,"7",NA,"4",NA,"55",NA,"1",NA,"4",NA,"72",NA,"1",NA,"4","41","3","6",NA,"55","3","6",NA,"72","3","6",NA,"41","55","72","92","95","76","57","3","12","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"M906","142",NA,"14.00",NA,"31.277",40000,3000,31
"63010",31,392,NA,901107,NA,NA,NA,NA,NA,"3",903107,NA,"0012","1","0120316","022","0019","88","144",NA,NA,NA,NA,NA,"06",NA,"4",NA,"1",NA,"40",NA,"41",NA,"6",NA,"4",NA,"72",NA,"3",NA,"4",NA,"65",NA,"1",NA,"3","41","3","6",NA,"72","3","6",NA,"65","3","6",NA,"41","72","74","65","71",NA,NA,"3","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","040",NA,"04.50",NA,"31.392",22000,19000,31
"63065",31,447,NA,901107,NA,NA,NA,NA,NA,"3",900108,NA,"0012","1","0120338","034","0001","88","098",NA,NA,NA,NA,NA,"08",NA,"5",NA,"1",NA,"90",NA,"41",NA,"6",NA,"4",NA,"72",NA,"2",NA,"4",NA,"71",NA,"1",NA,"3","41","3","6",NA,"72","3","6",NA,"71","3","6",NA,"41","72","71","55","97","74","95","2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"01","139",NA,"11.50",NA,"31.447",34000,1000,31
"64593",32,676,8,892411,NA,NA,NA,NA,NA,"S",891312,NA,"0225","1","0225J09","587","4687","87","081","6","6",NA,"0","03","03","4","2","9","1","60","70","26","41","4","5","3","4","43","72","5","4","3","4","46","46","1","1","3","4","41","3","6",NA,"72","3","6",NA,"46","3","6",NA,"41","72","46","68","94","99","26","2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9",NA,NA,"01","251",NA,"2.25",NA,"32.676",587000,4687000,32
