"","Provincia","Estadillo","nArbol","Tipo","OrdenIFActual","Rumbo","Distancia","Especie","Diametro1","Diametro2","Calidad","Forma","Altura","ParEsp","PlotID0"
"26602",2,892,10,"3","10","207","7.2","24","206","207","2","2","10.5",NA,"2.892"
"26603",2,892,11,NA,"11","209","11.0","24","394","422","2","2","12.5",NA,"2.892"
"26604",2,892,12,NA,"12","266","11.9","24","264","265","2","2","10.5","014","2.892"
"26605",2,892,13,NA,"13","282","9.6","24","303","266","2","2","11.5","016","2.892"
"26606",2,892,14,NA,"14","297","10.2","24","400","420","2","2","11.5","1","2.892"
"26607",2,892,15,"4","15","305","8.7","26","269","261","2","2","10.5","014","2.892"
"26608",2,892,16,NA,"16","308","16.3","24","541","499","2","2","14.0","1","2.892"
"26609",2,892,17,NA,"17","310","10.5","26","248","261","2","2","10.5",NA,"2.892"
"26610",2,892,18,NA,"18","354","13.6","26","399","404","2","2","12.0",NA,"2.892"
"26611",2,892,19,NA,"19","361","10.9","24","292","342","2","2","11.5",NA,"2.892"
"26612",2,892,20,NA,"20","365","12.6","23","500","455","3","2","11.0","1","2.892"
"28331",2,1104,1,"1","1","11","6.2","26","170","163","2","3","7.0",NA,"2.1104"
"28332",2,1104,2,NA,"2","34","14.5","24","284","278","2","2","13.0",NA,"2.1104"
"28333",2,1104,3,NA,"3","38","9.6","24","319","284","2","2","10.5",NA,"2.1104"
"28334",2,1104,4,NA,"4","62","4.9","24","504","456","2","2","15.0","516","2.1104"
"28335",2,1104,5,NA,"5","67","8.5","26","130","138","3","5","4.0",NA,"2.1104"
"28336",2,1104,6,NA,"6","69","11.4","24","309","272","2","2","12.0","508","2.1104"
"28337",2,1104,7,"2","7","100","13.2","24","364","420","2","2","13.0","517","2.1104"
"28338",2,1104,8,NA,"8","156","15.3","26","476","440","2","2","16.0","517","2.1104"
"28339",2,1104,9,NA,"9","193","3.0","26","157","167","2","2","7.0",NA,"2.1104"
"28340",2,1104,10,NA,"10","197","4.3","24","373","336","2","2","10.0",NA,"2.1104"
"28341",2,1104,11,"3","11","221","6.6","24","144","128","2","3","7.0",NA,"2.1104"
"28342",2,1104,12,NA,"12","233","22.2","26","433","464","2","2","14.0","518","2.1104"
"28343",2,1104,13,NA,"13","235","9.5","26","149","179","3","5","5.0","1","2.1104"
"28344",2,1104,14,NA,"14","237","5.3","24","95","94","2","3","6.0",NA,"2.1104"
"28345",2,1104,15,NA,"15","246","9.3","26","402","444","2","2","16.0","517","2.1104"
"28346",2,1104,16,NA,"16","250","17.8","26","452","436","2","2","16.5","518","2.1104"
"28347",2,1104,17,NA,"17","277","10.5","24","136","119","2","3","8.0",NA,"2.1104"
"28348",2,1104,18,NA,"18","285","15.7","26","368","367","2","2","16.0","518","2.1104"
"28349",2,1104,19,"4","19","319","15.1","26","264","240","2","2","11.0",NA,"2.1104"
"28350",2,1104,20,NA,"20","333","8.1","26","151","154","2","2","7.0",NA,"2.1104"
"28351",2,1104,21,NA,"21","335","11.9","26","307","307","2","2","13.0",NA,"2.1104"
"28352",2,1104,22,NA,"22","388","5.2","24","376","338","2","2","11.0",NA,"2.1104"
"28353",2,1104,23,NA,"23","393","14.9","24","235","240","2","2","12.0",NA,"2.1104"
"28354",2,1104,24,NA,"24","395","10.9","26","340","338","2","2","12.0","518","2.1104"
"28518",2,1172,1,"1","1","6","10.1","26","365","373","2","2","9.5","819","2.1172"
"28519",2,1172,2,NA,"2","20","9.9","26","263","278","2","2","9.5","1","2.1172"
"28520",2,1172,3,NA,"3","29","12.3","26","230","300","2","2","9.5","606","2.1172"
"28521",2,1172,4,NA,"4","39","6.2","26","232","207","2","2","6.5",NA,"2.1172"
"28522",2,1172,5,NA,"5","51","13.7","26","221","260","2","2","8.5","606","2.1172"
"28523",2,1172,6,NA,"6","63","15.5","26","266","304","2","2","7.5","606","2.1172"
"28524",2,1172,7,NA,"7","71","14.4","26","338","319","2","2","9.0","818","2.1172"
"28525",2,1172,8,NA,"8","75","11.1","26","255","233","2","2","7.0",NA,"2.1172"
"28526",2,1172,9,NA,"9","81","4.9","26","310","287","2","2","9.0",NA,"2.1172"
"28527",2,1172,10,NA,"10","97","9.4","26","179","187","2","2","7.0",NA,"2.1172"
"28528",2,1172,11,NA,"11","99","13.8","26","277","248","2","2","7.5",NA,"2.1172"
"28529",2,1172,12,"2","12","109","4.0","26","301","264","2","2","9.0",NA,"2.1172"
"28530",2,1172,13,NA,"13","119","14.6","26","303","292","2","2","7.5",NA,"2.1172"
"28531",2,1172,14,NA,"14","119","7.4","24","212","209","2","2","7.0",NA,"2.1172"
"28532",2,1172,15,NA,"15","129","7.4","26","197","207","2","2","6.5",NA,"2.1172"
"28533",2,1172,16,NA,"16","144","12.7","26","226","224","2","2","9.5",NA,"2.1172"
"28534",2,1172,17,NA,"17","146","11.9","26","357","350","2","2","10.5","817","2.1172"
"28535",2,1172,18,NA,"18","188","10.2","26","300","307","2","2","10.0",NA,"2.1172"
"28536",2,1172,19,"3","19","209","7.5","26","297","324","3","2","10.0","606","2.1172"
"28537",2,1172,20,NA,"20","216","12.0","24","344","386","2","2","10.5",NA,"2.1172"
"28538",2,1172,21,NA,"21","232","4.7","26","249","268","2","2","9.5",NA,"2.1172"
"28539",2,1172,22,NA,"22","236","6.9","24","289","300","2","2","10.0",NA,"2.1172"
"28540",2,1172,23,NA,"23","239","11.9","26","258","280","2","2","8.5",NA,"2.1172"
"28541",2,1172,24,NA,"24","290","15.2","26","321","316","2","2","11.5","614","2.1172"
"28542",2,1172,25,NA,"25","293","5.1","24","216","226","2","2","9.0",NA,"2.1172"
"28543",2,1172,26,"4","26","313","13.7","26","369","300","2","2","12.0","609","2.1172"
"28544",2,1172,27,NA,"27","365","3.4","26","279","259","2","2","8.5",NA,"2.1172"
"28545",2,1172,28,NA,"28","370","13.9","26","231","252","2","2","8.0",NA,"2.1172"
"28546",2,1172,29,NA,"29","374","10.5","26","312","319","2","2","8.0",NA,"2.1172"
"28547",2,1172,30,NA,"30","386","7.3","26","288","270","2","2","9.0",NA,"2.1172"
"28610",2,1176,1,"1","1","43","14.0","26","300","296","2","2","11.5",NA,"2.1176"
"28611",2,1176,2,"2","2","105","7.6","24","274","256","2","2","12.0",NA,"2.1176"
"28612",2,1176,3,NA,"3","112","9.0","24","135","137","3","2","9.0",NA,"2.1176"
"28613",2,1176,4,NA,"4","152","15.1","24","293","295","2","2","12.0",NA,"2.1176"
"28614",2,1176,5,NA,"5","154","5.8","24","322","325","2","2","14.0",NA,"2.1176"
"28615",2,1176,6,"3","6","208","6.9","26","131","133","5","5","6.5",NA,"2.1176"
"28616",2,1176,7,NA,"7","241","12.3","26","279","275","2","2","10.5",NA,"2.1176"
"28617",2,1176,8,NA,"8","253","3.1","26","297","295","2","2","12.5",NA,"2.1176"
"28618",2,1176,9,NA,"9","255","7.2","26","263","256","2","2","13.0",NA,"2.1176"
"28619",2,1176,10,NA,"10","258","10.6","26","273","285","2","2","11.5",NA,"2.1176"
"28620",2,1176,11,NA,"11","279","14.1","26","277","290","2","2","13.0",NA,"2.1176"
"28621",2,1176,12,"4","12","345","12.6","24","334","345","2","2","15.0",NA,"2.1176"
"28622",2,1176,13,NA,"13","374","8.0","24","132","128","2","3","8.0",NA,"2.1176"
"28623",2,1176,14,NA,"14","388","7.6","24","128","131","3","3","6.0",NA,"2.1176"
"28624",2,1176,15,NA,"15","398","3.0","24","124","122","4","5","9.0",NA,"2.1176"
"29288",2,1244,1,NA,"1","7","3.2","26","91","88","2","5","5.0",NA,"2.1244"
"29289",2,1244,2,"1","2","9","9.8","26","192","179","2","2","6.5",NA,"2.1244"
"29290",2,1244,3,NA,"3","12","7.9","26","193","192","2","2","7.5",NA,"2.1244"
"29291",2,1244,4,NA,"4","22","8.9","26","205","217","2","2","6.5",NA,"2.1244"
"29292",2,1244,5,NA,"5","49","3.7","26","247","244","2","2","8.0",NA,"2.1244"
"29293",2,1244,6,NA,"6","81","4.3","24","271","253","2","2","9.5",NA,"2.1244"
"29294",2,1244,7,"2","7","121","9.7","26","215","195","2","2","6.5",NA,"2.1244"
"29295",2,1244,8,NA,"8","138","12.5","26","329","308","2","2","8.5",NA,"2.1244"
"29296",2,1244,9,NA,"9","163","8.3","26","208","223","2","2","7.5",NA,"2.1244"
"29297",2,1244,10,NA,"10","182","5.5","24","188","204","2","2","8.0",NA,"2.1244"
"29298",2,1244,11,NA,"11","196","7.8","24","197","205","2","2","9.0",NA,"2.1244"
"29299",2,1244,12,NA,"12","196","2.3","24","124","126","2","2","8.0",NA,"2.1244"
"29300",2,1244,13,"3","13","200","4.7","24","270","305","2","2","11.0",NA,"2.1244"
"29301",2,1244,14,NA,"14","213","7.4","24","254","269","2","2","9.5",NA,"2.1244"
"29302",2,1244,15,NA,"15","229","2.5","26","79","80","2","5","3.5",NA,"2.1244"
"29303",2,1244,16,NA,"16","233","2.2","24","171","182","2","2","8.5",NA,"2.1244"
"29304",2,1244,17,NA,"17","242","5.6","26","183","184","2","2","7.5",NA,"2.1244"
"29305",2,1244,18,NA,"18","285","2.9","26","269","262","2","2","9.0",NA,"2.1244"
"29306",2,1244,19,NA,"19","297","1.4","24","273","241","2","2","10.0",NA,"2.1244"
"29307",2,1244,20,NA,"20","335","10.6","26","307","287","2","2","9.5",NA,"2.1244"
"29308",2,1244,21,"4","21","344","10.1","26","194","193","2","3","6.5",NA,"2.1244"
"29309",2,1244,22,NA,"22","354","4.1","26","186","191","2","2","6.5",NA,"2.1244"
"29310",2,1244,23,NA,"23","365","10.7","24","269","281","2","2","10.0",NA,"2.1244"
"29311",2,1244,24,NA,"24","392","7.1","24","153","158","2","2","7.5",NA,"2.1244"
"29312",2,1244,25,NA,"25","398","8.3","26","190","199","2","2","6.5",NA,"2.1244"
"29552",2,1266,1,"1","1","9","12.2","24","247","250","2","2","13.5",NA,"2.1266"
"29553",2,1266,2,NA,"2","12","1.9","26","73","82","2","3","5.5",NA,"2.1266"
"29554",2,1266,3,NA,"3","21","11.7","24","234","230","2","2","13.0",NA,"2.1266"
"29555",2,1266,4,NA,"4","25","7.9","24","144","146","2","2","13.0",NA,"2.1266"
"29556",2,1266,5,NA,"5","27","4.9","26","85","84","2","3","6.0",NA,"2.1266"
"29557",2,1266,6,NA,"6","33","2.6","26","154","155","2","2","9.5",NA,"2.1266"
"29558",2,1266,7,NA,"7","35","3.9","26","231","219","2","2","10.5",NA,"2.1266"
"29559",2,1266,8,NA,"8","50","4.0","25","121","127","2","2","8.5",NA,"2.1266"
"29560",2,1266,9,NA,"9","58","5.2","26","189","178","2","2","9.0",NA,"2.1266"
"29561",2,1266,10,NA,"10","61","9.6","26","277","254","2","2","11.5",NA,"2.1266"
"29562",2,1266,11,NA,"11","69","2.7","26","175","173","2","2","10.5",NA,"2.1266"
"29563",2,1266,12,NA,"12","72","5.7","26","167","174","2","2","8.5",NA,"2.1266"
"29564",2,1266,13,NA,"13","81","15.1","24","243","234","2","2","12.0",NA,"2.1266"
"29565",2,1266,14,NA,"14","81","7.0","26","129","123","2","3","7.5",NA,"2.1266"
"29566",2,1266,15,NA,"15","97","10.8","26","239","247","2","2","10.0",NA,"2.1266"
"29567",2,1266,16,"2","16","101","13.7","24","311","287","2","2","12.0",NA,"2.1266"
"29568",2,1266,17,NA,"17","106","6.7","24","208","213","2","2","10.5",NA,"2.1266"
"29569",2,1266,18,NA,"18","106","1.1","26","132","141","2","2","7.0",NA,"2.1266"
"29570",2,1266,19,NA,"19","117","4.9","26","247","230","2","2","9.5",NA,"2.1266"
"29571",2,1266,20,NA,"20","130","14.8","24","261","269","2","2","11.0",NA,"2.1266"
"29572",2,1266,21,NA,"21","185","5.9","24","134","130","2","3","8.0",NA,"2.1266"
"29573",2,1266,22,NA,"22","187","7.3","24","250","254","2","2","12.0",NA,"2.1266"
"29574",2,1266,23,"3","23","201","4.5","26","139","136","2","2","8.0",NA,"2.1266"
"29575",2,1266,24,NA,"24","217","6.0","26","155","136","2","2","8.0",NA,"2.1266"
"29576",2,1266,25,NA,"25","239","6.4","26","241","242","2","2","9.5",NA,"2.1266"
"29577",2,1266,26,NA,"26","245","1.9","24","164","167","2","2","10.5",NA,"2.1266"
"29578",2,1266,27,NA,"27","255","4.3","24","195","189","2","2","10.5",NA,"2.1266"
"29579",2,1266,28,NA,"28","261","5.6","26","142","141","2","3","9.0",NA,"2.1266"
"29580",2,1266,29,NA,"29","266","9.9","24","170","162","2","2","9.5",NA,"2.1266"
"29581",2,1266,30,NA,"30","271","7.1","24","183","188","2","2","9.5",NA,"2.1266"
"29582",2,1266,31,NA,"31","273","5.8","26","146","140","2","2","9.0",NA,"2.1266"
"29583",2,1266,32,"4","32","305","8.4","26","289","290","2","2","11.5",NA,"2.1266"
"29584",2,1266,33,NA,"33","312","11.0","24","237","243","2","2","12.0",NA,"2.1266"
"29585",2,1266,34,NA,"34","313","3.6","26","211","227","2","2","9.5",NA,"2.1266"
"29586",2,1266,35,NA,"35","346","9.0","24","135","125","2","2","9.5",NA,"2.1266"
"29587",2,1266,36,NA,"36","346","7.3","24","185","187","2","2","10.0",NA,"2.1266"
"29588",2,1266,37,NA,"37","360","5.7","24","181","192","2","2","9.5",NA,"2.1266"
"29589",2,1266,38,NA,"38","362","7.9","26","272","276","2","2","11.5",NA,"2.1266"
"29590",2,1266,39,NA,"39","377","6.4","26","226","225","2","2","11.0",NA,"2.1266"
"29591",2,1266,40,NA,"40","379","4.1","26","114","95","2","3","7.0",NA,"2.1266"
"29592",2,1266,41,NA,"41","385","8.0","24","213","208","2","2","13.5",NA,"2.1266"
"29593",2,1266,42,NA,"42","392","10.8","24","243","247","2","2","12.0",NA,"2.1266"
"29594",2,1266,43,NA,"43","397","8.7","24","239","230","2","2","13.5",NA,"2.1266"
"29595",2,1267,1,"1","1","11","10.1","24","146","151","2","2","7.5",NA,"2.1267"
"29596",2,1267,2,NA,"2","26","10.1","24","150","153","2","2","8.0",NA,"2.1267"
"29597",2,1267,3,NA,"3","52","12.7","24","232","241","2","2","10.5",NA,"2.1267"
"29598",2,1267,4,NA,"4","74","3.3","26","156","156","2","2","7.5",NA,"2.1267"
"29599",2,1267,5,NA,"5","91","7.0","26","188","184","2","2","6.5",NA,"2.1267"
"29600",2,1267,6,NA,"6","97","10.2","26","158","152","2","2","7.0",NA,"2.1267"
"29601",2,1267,7,"2","7","115","8.7","26","158","150","2","2","8.0",NA,"2.1267"
"29602",2,1267,8,NA,"8","124","8.8","26","176","173","2","2","7.5",NA,"2.1267"
"29603",2,1267,9,NA,"9","127","9.9","26","150","147","2","2","8.5",NA,"2.1267"
"29604",2,1267,10,NA,"10","144","13.0","24","226","242","2","2","9.0",NA,"2.1267"
"29605",2,1267,11,NA,"11","159","8.7","24","140","145","2","2","8.0",NA,"2.1267"
"29606",2,1267,12,NA,"12","163","2.6","26","223","234","2","2","9.0",NA,"2.1267"
"29607",2,1267,13,NA,"13","185","4.0","26","177","164","2","2","9.5",NA,"2.1267"
"29608",2,1267,14,NA,"14","188","4.6","26","141","139","2","2","8.0",NA,"2.1267"
"29609",2,1267,15,"3","15","203","5.9","24","234","244","2","2","9.5",NA,"2.1267"
"29610",2,1267,16,NA,"16","224","4.1","24","163","178","2","2","9.5",NA,"2.1267"
"29611",2,1267,17,NA,"17","239","5.3","24","227","240","2","2","10.5",NA,"2.1267"
"29612",2,1267,18,NA,"18","274","8.8","24","193","184","2","2","8.5",NA,"2.1267"
"29613",2,1267,19,NA,"19","287","8.3","24","249","246","2","2","10.0",NA,"2.1267"
"29614",2,1267,20,"4","20","329","9.2","24","253","230","2","2","8.0",NA,"2.1267"
"29670",2,1275,1,"1","1","7","7.9","26","203","185","2","2","9.0",NA,"2.1275"
"29671",2,1275,2,NA,"2","9","2.4","26","184","175","2","2","10.5",NA,"2.1275"
"29672",2,1275,3,NA,"3","30","17.4","26","251","241","2","2","9.0",NA,"2.1275"
"29673",2,1275,4,NA,"4","54","10.6","26","332","358","2","5","7.5",NA,"2.1275"
"29674",2,1275,5,NA,"5","80","10.0","26","217","201","3","5","7.5",NA,"2.1275"
"29675",2,1275,6,NA,"6","80","3.5","26","115","113","2","3","10.0",NA,"2.1275"
"29676",2,1275,7,NA,"7","88","3.8","26","196","213","2","2","10.5",NA,"2.1275"
"29677",2,1275,8,NA,"8","93","5.0","26","121","127","2","3","7.0",NA,"2.1275"
"29678",2,1275,9,NA,"9","94","13.6","26","386","382","2","2","10.0",NA,"2.1275"
"29679",2,1275,10,"2","10","189","5.1","24","165","165","2","2","10.0",NA,"2.1275"
"29680",2,1275,11,"3","11","216","7.5","24","157","143","2","2","10.0",NA,"2.1275"
"29681",2,1275,12,NA,"12","234","8.9","26","227","217","2","2","11.0",NA,"2.1275"
"29682",2,1275,13,NA,"13","244","7.3","26","241","234","2","2","12.0",NA,"2.1275"
"29683",2,1275,14,NA,"14","250","9.5","26","384","384","2","2","13.5",NA,"2.1275"
"29684",2,1275,15,NA,"15","270","10.2","24","152","147","2","2","9.0",NA,"2.1275"
"29685",2,1275,16,NA,"16","297","6.1","26","165","163","2","2","8.5",NA,"2.1275"
"29686",2,1275,17,NA,"17","297","1.6","26","271","278","2","2","11.0",NA,"2.1275"
"29687",2,1275,18,"4","18","326","5.5","24","179","175","2","2","9.0",NA,"2.1275"
"29688",2,1275,19,NA,"19","329","4.9","24","220","227","2","2","11.0",NA,"2.1275"
"29689",2,1275,20,NA,"20","338","13.0","26","275","280","2","2","10.5",NA,"2.1275"
"29690",2,1275,21,NA,"21","342","5.0","24","141","140","2","2","9.0",NA,"2.1275"
"29691",2,1275,22,NA,"22","355","10.7","26","245","227","2","2","7.5",NA,"2.1275"
"29692",2,1275,23,NA,"23","357","7.6","26","184","191","2","2","10.5",NA,"2.1275"
"29693",2,1275,24,NA,"24","364","6.9","26","164","158","2","2","10.0",NA,"2.1275"
"29694",2,1275,25,NA,"25","373","7.5","26","165","148","2","2","10.5",NA,"2.1275"
"29695",2,1275,26,NA,"26","381","7.3","26","214","209","2","2","10.5",NA,"2.1275"
"29696",2,1275,27,NA,"27","392","14.2","26","280","269","2","2","9.5",NA,"2.1275"
"29697",2,1275,28,NA,"28","394","8.4","26","276","279","2","2","12.5",NA,"2.1275"
"30007",2,1319,1,"1","1","37","15.6","24","478","475","2","2","18.5",NA,"2.1319"
"30008",2,1319,2,NA,"2","50","16.3","24","257","254","2","2","15.0",NA,"2.1319"
"30009",2,1319,3,NA,"3","94","15.0","24","438","435","2","2","17.0",NA,"2.1319"
"30010",2,1319,4,NA,"4","95","11.5","24","411","394","2","2","14.5",NA,"2.1319"
"30011",2,1319,5,NA,"5","96","21.7","24","443","429","2","2","16.0",NA,"2.1319"
"30012",2,1319,6,"2","6","148","7.7","26","225","219","2","2","8.0",NA,"2.1319"
"30013",2,1319,7,NA,"7","170","26.5","26","503","474","2","2","14.0",NA,"2.1319"
"30014",2,1319,8,NA,"8","179","11.2","24","333","357","2","2","11.0",NA,"2.1319"
"30015",2,1319,9,NA,"9","192","2.3","24","211","226","2","2","12.5",NA,"2.1319"
"30016",2,1319,10,NA,"10","194","13.1","26","240","232","2","2","8.5",NA,"2.1319"
"30017",2,1319,11,"3","11","207","4.6","26","159","169","2","2","7.5",NA,"2.1319"
"30018",2,1319,12,NA,"12","210","13.9","24","486","410","3","2","11.5",NA,"2.1319"
"30019",2,1319,13,NA,"13","231","12.5","24","264","267","2","2","12.5",NA,"2.1319"
"30020",2,1319,14,NA,"14","257","15.0","24","250","241","2","2","13.0",NA,"2.1319"
"30021",2,1319,15,NA,"15","280","22.7","24","530","458","2","2","19.0",NA,"2.1319"
"30022",2,1319,16,NA,"16","288","1.8","24","94","91","2","3","5.5",NA,"2.1319"
"30023",2,1319,17,"4","17","304","21.0","24","467","443","2","2","16.5",NA,"2.1319"
"30024",2,1319,18,NA,"18","308","13.6","24","350","354","2","2","11.5",NA,"2.1319"
"30025",2,1319,19,NA,"19","309","10.7","24","238","249","2","2","14.0",NA,"2.1319"
"30026",2,1319,20,NA,"20","353","15.8","24","302","300","2","2","9.0",NA,"2.1319"
"30084",2,1346,1,"1","1","24","14.5","26","241","246","2","2","8.0",NA,"2.1346"
"30085",2,1346,2,NA,"2","27","12.5","24","225","264","2","5","7.5",NA,"2.1346"
"30086",2,1346,3,NA,"3","38","5.1","26","104","107","2","3","5.5",NA,"2.1346"
"30087",2,1346,4,NA,"4","47","11.0","26","226","257","2","2","9.5",NA,"2.1346"
"30088",2,1346,5,"2","5","107","9.4","24","238","234","2","2","8.5",NA,"2.1346"
"30089",2,1346,6,NA,"6","133","9.1","26","167","162","2","2","5.0",NA,"2.1346"
"30090",2,1346,7,NA,"7","169","4.5","24","227","238","2","2","7.5","1","2.1346"
"30091",2,1346,8,NA,"8","182","11.8","26","269","288","2","5","7.0",NA,"2.1346"
"30092",2,1346,9,"3","9","207","16.3","26","288","296","2","2","11.0",NA,"2.1346"
"30093",2,1346,10,NA,"10","226","11.7","26","279","282","2","2","8.5","1","2.1346"
"30094",2,1346,11,NA,"11","270","8.7","26","367","362","2","2","8.5",NA,"2.1346"
"30095",2,1346,12,NA,"12","274","2.2","26","207","198","2","2","6.0",NA,"2.1346"
"30096",2,1346,13,NA,"13","290","14.3","26","339","322","2","2","9.0",NA,"2.1346"
"30097",2,1346,14,"4","14","328","14.5","24","287","266","2","2","10.5",NA,"2.1346"
"30098",2,1346,15,NA,"15","353","14.0","24","245","251","2","2","10.5",NA,"2.1346"
"30099",2,1346,16,NA,"16","353","2.2","24","194","177","2","2","8.5",NA,"2.1346"
"30100",2,1346,17,NA,"17","381","11.6","26","301","311","2","2","9.5","1","2.1346"
"30101",2,1346,18,NA,"18","388","3.4","24","94","95","3","5","3.5",NA,"2.1346"
"30102",2,1358,1,"1","1","6","9.0","24","337","344","2","2","15.5",NA,"2.1358"
"30103",2,1358,2,NA,"2","14","3.3","25","247","244","2","2","12.5",NA,"2.1358"
"30104",2,1358,3,NA,"3","15","11.3","24","431","421","2","2","18.0",NA,"2.1358"
"30105",2,1358,4,NA,"4","32","14.2","25","345","314","2","2","16.5",NA,"2.1358"
"30106",2,1358,5,NA,"5","40","15.8","24","554","465","2","2","18.5",NA,"2.1358"
"30107",2,1358,6,NA,"6","82","13.9","26","331","324","2","2","11.5",NA,"2.1358"
"30108",2,1358,7,"2","7","108","8.5","26","314","332","2","2","13.0",NA,"2.1358"
"30109",2,1358,8,NA,"8","125","10.3","26","353","364","2","2","13.0",NA,"2.1358"
"30110",2,1358,9,NA,"9","132","1.1","26","354","364","2","2","12.0",NA,"2.1358"
"30111",2,1358,10,NA,"10","138","5.9","26","385","383","2","2","13.5",NA,"2.1358"
"30112",2,1358,11,NA,"11","163","11.1","24","268","277","2","2","12.5",NA,"2.1358"
"30113",2,1358,12,NA,"12","163","2.3","26","249","269","2","2","11.5",NA,"2.1358"
"30114",2,1358,13,NA,"13","182","8.4","26","293","298","2","2","15.5",NA,"2.1358"
"30115",2,1358,14,"3","14","200","11.9","24","410","436","2","2","16.0",NA,"2.1358"
"30116",2,1358,15,NA,"15","225","14.3","26","370","360","2","2","14.5",NA,"2.1358"
"30117",2,1358,16,NA,"16","233","7.0","26","310","302","2","2","14.0",NA,"2.1358"
"30118",2,1358,17,NA,"17","238","13.1","26","308","312","2","2","13.0",NA,"2.1358"
"30119",2,1358,18,NA,"18","240","9.2","26","286","305","2","2","12.5",NA,"2.1358"
"30120",2,1358,19,NA,"19","260","6.3","24","332","290","2","2","15.0",NA,"2.1358"
"30121",2,1358,20,NA,"20","270","8.1","26","249","255","2","2","10.5",NA,"2.1358"
"30122",2,1358,21,NA,"21","286","14.7","26","287","284","2","2","13.0",NA,"2.1358"
"30123",2,1358,22,NA,"22","291","4.7","26","140","142","2","2","7.5",NA,"2.1358"
"30124",2,1358,23,NA,"23","296","9.3","26","364","369","2","2","14.0",NA,"2.1358"
"30125",2,1358,24,"4","24","329","13.9","26","287","304","2","2","12.5",NA,"2.1358"
"30126",2,1358,25,NA,"25","342","14.7","26","321","311","2","2","14.5",NA,"2.1358"
"30127",2,1358,26,NA,"26","342","9.0","26","326","340","2","2","11.5",NA,"2.1358"
"30128",2,1358,27,NA,"27","350","11.7","26","332","386","2","2","14.5",NA,"2.1358"
"30129",2,1358,28,NA,"28","359","5.9","24","266","287","2","2","13.0",NA,"2.1358"
"30130",2,1358,29,NA,"29","362","12.6","26","229","242","2","2","11.0",NA,"2.1358"
"30131",2,1358,30,NA,"30","385","10.5","26","273","278","2","2","13.5",NA,"2.1358"
"30132",2,1358,31,NA,"31","397","5.7","26","259","262","2","2","12.5",NA,"2.1358"
"30189",2,1374,1,"1","1","4","13.9","26","273","290","2","2","9.0",NA,"2.1374"
"30190",2,1374,2,"4","2","48","16.3","26","341","336","2","2","11.5",NA,"2.1374"
"30191",2,1374,3,NA,"3","96","6.3","24","396","365","2","2","8.0","1","2.1374"
"30192",2,1374,4,"2","4","153","14.7","24","426","415","2","2","12.5","1","2.1374"
"30193",2,1374,5,NA,"5","186","11.6","24","406","404","2","2","13.5",NA,"2.1374"
"30194",2,1374,6,"3","6","201","15.1","24","381","480","2","2","11.0","1","2.1374"
"30195",2,1374,7,NA,"7","208","10.9","24","364","390","2","2","10.5","1","2.1374"
"30196",2,1374,8,NA,"8","294","17.5","24","512","510","2","2","13.0","1","2.1374"
"30197",2,1374,9,NA,"9","295","11.7","24","365","323","2","2","10.0","1","2.1374"
"31816",2,805,1,"1","1","1","4.8","26","330","343","3","2","9.5","2","2.805"
"31817",2,805,2,"2","2","140","6.6","24","413","416","2","2","13.5",NA,"2.805"
"31818",2,805,3,NA,"3","144","3.9","24","428","419","2","2","13.5",NA,"2.805"
